source_product_no,product_name,category,mrp_inr,dp_inr,bv,pv,pack_size,sku,ingredients,benefits,usage,dosage,warnings,certifications,product_image_url,source_file,source_page,effective_date,confidence,data_status
108,Vital Protein Powder 300gm,Plant protein blend,1999,1199,430.0,,300g,,"Pea Protein Isolate, Brown Rice Protein, DigeZyme, Electrolytes, 9 Essential Amino Acids",Lean muscle development/recovery; healthy weight; bone/joint strength; stamina/endurance,1 scoop (10g) up to 3x/day adults; 1x/day children 5-12,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
109,L-Arginine - Energy Drink 100g,Health Care,1499,799,300.0,,100g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
110,Ample Meal - Meal Replacement Nutritional Shake 500g,Health Care,2699,1799,650.0,,500g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
111,JuniorJoy - Kids Nutritional Drink 300g,Health Care,1499,899,325.0,,300g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
112,Kahwa Masala Chai 25 Pcs,Herbal wellness tea,399,295,95.0,,25 Pcs,,"Pepper, Ginger, Green Tea, Tulsi, Cloves, Cardamom, Cinnamon, Almonds, Saffron",General wellbeing; antioxidants; detoxification; digestion,1 sachet brewed 2-3 min,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
113,Shilajit Gummies 60 Gummies,Energy & stamina gummies,1499,999,400.0,,60 G,,"Shilajit, Fulvic Acid, Essential Minerals",Strength/stamina; energy levels; fatigue relief; overall vitality,2 gummies daily (breakfast & dinner),,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
114,Apple Cider Vinegar 3X20 Tablets,Digestive fizzy tablets,1425,875,350.0,,3X20 Tablets,,"Apple Cider Vinegar, Probiotics, Vitamin B6, B12",Healthy digestion; weight management; gut health; metabolism/energy,"1 tablet in 200ml water, twice daily before meals",,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
115,Marine Collagen 200g,Skin/hair/joint supplement,1799,999,380.0,,200g,,"Marine Collagen Type I&III, Astaxanthin, Resveratrol, Hyaluronic Acid, Vit C&E, Biotin, Zinc, Selenium",Skin firmness/hydration; joint flexibility; hair/nail strength; anti-aging; antioxidant protection,1 scoop (8g) in 150ml water daily,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
116,Dishwash Liquid Gel 500ml,Home care,189,149,29.0,,500ml,,Natural ingredients,Grease-fighting; gentle on hands; removes odors; refreshing fragrance,Household use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
117,Toilet Bowl Cleaner 500ml,Home care,149,115,21.0,,500ml,,NA,Removes stains; kills germs; eliminates odor; long-lasting freshness,Household use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
118,Liquid Detergent 1Ltr.,Home care,449,370,74.0,,1L,,NA,Removes tough stains; keeps fabric soft; colorfast; long-lasting freshness,Household use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
119,All in 1 Surface Cleaner 500ml,Home Care,179,140,27.0,,500ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
120,Premium Suit Length Black,Clothing fabric,10000,5999,2800.0,,,,Nano fabric technology,Sweat/odor/stain resistance; elasticity; UV protection; mosquito repelling; breathable,Tailoring use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
121,Designer Mask Pack of 5,Clothing,220,180,55.0,,Pack of 5,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
122,Dayjoy Necktie,Accessory,499,299,50.0,,,,Premium fabric,Premium fabric; sleek finish; elegance,Wear as needed,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
123,"T-shirt New Design L, M, XL",Clothing,699,599,100.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
124,Happy Soil - Humic 500ml,Soil conditioner,849,575,200.0,,500ml,,"Humic Acid, Fulvic Acid",Moisture/nutrient retention; soil wetting; buffers fertilizer leaching; seedling vigor; root development,1L in 200L water/acre every 15-20 days,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
125,Nano Tech-19 500ml,Agriculture Veterinary,1499,949,425.0,,500ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
126,Nano Tech-46 500ml,Agriculture Veterinary,1499,949,425.0,,500ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
127,Nano Tech-50 500ml,Agriculture Veterinary,1499,949,425.0,,500ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
128,Nano Tech-52 500ml,Agriculture Veterinary,1499,949,425.0,,500ml,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
129,Prosperous 1 L,Agriculture Veterinary,1499,999,340.0,,1 L,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
130,Prosperous Tablets,Agri growth booster,1049,599,310.0,,,,Liquid bio-formula,Faster plant growth; stress/pest/disease resistance; more flowering/fruiting; better fruit quality; nutrient absorption,5ml/L water general; 1L in 200L water per acre,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
131,Joy-O-Zyme 500ml,Bio-stimulant,1499,949,335.0,,500ml,,Plant-based amino acids/enzymes,Enhances germination; improves soil health; boosts pigments; stress tolerance; nutrient chelation,1-2ml/L foliar spray; 500ml/acre soil application,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
132,JoySpread 80 Gold 250ml,Agriculture Veterinary,499,329,75.0,,80 G,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
133,JoySpread 80 Gold 100ml,Agriculture Veterinary,249,155,37.0,,80 G,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
134,JoyGrow 2X Granules 2kg,Organic soil amendment,999,499,180.0,,,,Organic matter granules,Increases crop yield; improves soil health; boosts root formation; nutrient uptake,"2kg/acre, twice at 15-20 day intervals",,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
135,JoyProtect 500ml,Pest control,1499,949,390.0,,500ml,,Neem & natural compounds,Resists insect attacks; improves plant health; defends against sucking pests; reduces pesticide use,30-50ml per 15L tank every 15 days,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
136,JoyCalcium 2 Litre,Agriculture Veterinary,1049,699,250.0,,2 L,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
137,Bio-Germanium Magnetic Mattress,Germanium Magnetic,15000,9999,4250.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
138,Bio-Germanium Magnetic Mattress Pack of 2,Germanium Magnetic,30000,14999,5000.0,,Pack of 2,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
139,Aqua Energiser Pack of 3,Aqua Essentials,9000,5499,2500.0,,Pack of 3,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
141,Aqua Energiser Single,Wellness pad,3499,2000,1100.0,,,,Quantum/electron affinity technology,Improves circulation/hydration; boosts oxygen absorption; calmness; mood/mental clarity; immunity support,Facial massage / water treatment use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
142,New Perfect-Ion,Aqua Essentials,23999,14999,5000.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
143,Perfect-Ion Testing Solutions,Aqua Essentials,1399,699,280.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
144,Perfect-Ion Leaflets Set of 25,Aqua Essentials,36,36,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
145,Perfect-Ion Leaflets Set of 50,Aqua Essentials,66,66,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
146,N-SF 9.5 Mineraliser,Aqua Essentials,1999,1499,450.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
147,N-SF 10.5 Mineraliser,Aqua Essentials,1999,1499,450.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
148,Dayjoy Diary,Promotion Tools,299,275,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
149,Dayjoy Leather Bag,Promotion Tools,2999,1599,550.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
150,Dayjoy Cap,Promotion Tools,95,95,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
151,Dayjoy Mug,Promotion Tools,125,125,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
152,Dayjoy Bike Sticker,Promotion Tools,20,20,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
153,Dayjoy Car Sticker,Promotion Tools,40,40,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
154,Dayjoy Pin,Promotion Tools,150,150,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
155,Dayjoy Backpack Bag,Promotion Tools,1100,1100,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
156,New Dayjoy Product Brochure Hindi,Promotion Tools,250,250,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
157,New Dayjoy Product Brochure English,Promotion Tools,250,250,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
158,New Dayjoy Product Brochure Telugu,Promotion Tools,250,250,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
159,Product Leaflets Set of 48 Leaflets,Promotion Tools,130,130,,,48 L,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
160,Hindi One-Page Compensation Plan Set of 25 Leaflets,Promotion Tools,75,75,,,25 L,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
161,English One-Page Compensation Plan Set of 25 Leaflets,Promotion Tools,75,75,,,25 L,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
162,Hindi One-Page Compensation Plan Set of 50 Leaflets,Promotion Tools,135,135,,,50 L,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
163,English One-Page Compensation Plan Set of 50 Leaflets,Promotion Tools,135,135,,,50 L,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
164,Dayjoy Business Planner Book Hindi,Promotion Tools,250,250,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
165,Dayjoy Business Planner Book English,Promotion Tools,250,250,,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
166,STANDARD PACKAGE,Combo Packages,10997,5499,2500.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
167,PREMIUM PACKAGE,Combo Packages,17592,10499,5000.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
168,ELITE PACKAGE,Combo Packages,28286,15999,7500.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
169,AGRI PRO PACKAGE,Combo Packages,29076,22650,10000.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
170,AGRI STARTER PACKAGE,Combo Packages,15587,11499,5000.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
171,LEGEND PACKAGE,Combo Packages,27687,18999,10000.0,,,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
