Category,Problem_or_Condition,Subcondition,Recommended_Product_1,Recommended_Product_2,Recommended_Product_3,Recommended_Product_4,Usage_or_Notes,Priority,Source_Page,Confidence,Original_Text_Snippet
FEMALE HEALTH (WEAKNESS),Shortness of Breath,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Shortness of Breath
FEMALE HEALTH (WEAKNESS),Dizziness or Light Headedness,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Dizziness or Light Headedness
FEMALE HEALTH (WEAKNESS),Weakness,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Weakness
FEMALE HEALTH (WEAKNESS),Chest Pain,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Chest Pain
FEMALE HEALTH (WEAKNESS),Cold Hands and Feet,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Cold Hands and Feet
WEIGHT MANAGEMENT,Skin Sensitivity,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Skin Sensitivity
WEIGHT MANAGEMENT,Shortness of Breath,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Shortness of Breath
WEIGHT MANAGEMENT,Difficulty in Breathing,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Difficulty in Breathing
WEIGHT MANAGEMENT,Heart Palpitations,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Heart Palpitations
WEIGHT MANAGEMENT,Sweating,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Sweating
WEIGHT MANAGEMENT,Changes in Vision,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Changes in Vision
WEIGHT MANAGEMENT,Rapid Weight Gain,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Rapid Weight Gain
SKIN PROBLEMS,Photo Damage (UV Rays),,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Photo Damage (UV Rays)
SKIN PROBLEMS,Dry Skin,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Dry Skin
SKIN PROBLEMS,Slow Wound Healing,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Slow Wound Healing
SKIN PROBLEMS,Aging,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Aging
SKIN PROBLEMS,Skin Disorders,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Skin Disorders
SKIN PROBLEMS,"Acne, Psoriasis",,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,"Acne, Psoriasis"
COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),Disturbed Concentration,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Disturbed Concentration
COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),Sleeplessness,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Sleeplessness
COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),Memory loss,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Memory loss
COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),Trouble in Exercising Judgment,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Trouble in Exercising Judgment
COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),Difficulty in Planning and Carrying out tasks,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Difficulty in Planning and Carrying out tasks
"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",An achy or heavy feeling in the legs,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,An achy or heavy feeling in the legs
"VARICOSE VEINS (TWISTED, ENLARGED VEINS)","Burning, throbbing, muscle cramping and swelling in the lower legs",,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,"Burning, throbbing, muscle cramping and swelling in the lower legs"
"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",Worsened pain after sitting or standing for a long time,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,Worsened pain after sitting or standing for a long time
"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",Itching around one or more of the veins,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,Itching around one or more of the veins
"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",Change Skin Color around a varicose vein,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,Change Skin Color around a varicose vein
SCIATICA,Weakness when bending the knee,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Weakness when bending the knee
SCIATICA,Difficulty bending the foot,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Difficulty bending the foot
SCIATICA,Difficulty walking on your toes,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Difficulty walking on your toes
SCIATICA,Abnormal or weak reflexes,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Abnormal or weak reflexes
SCIATICA,Loss of sensation or numbness,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Loss of sensation or numbness
SCIATICA,Pain when lifting the leg,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Pain when lifting the leg
"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",Reduced amount of urine,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Reduced amount of urine
"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",Swelling in legs ankles and feet from retention of fluids,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Swelling in legs ankles and feet from retention of fluids
"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",Excessive drowsiness,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Excessive drowsiness
"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",Shortness of breath,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Shortness of breath
"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",Persistent nausea,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Persistent nausea
"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",Pain or pressure in your chest,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Pain or pressure in your chest
"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",Frequent Urination,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Frequent Urination
"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",Burning Urination,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Burning Urination
THYROID PREFERABLY (HYPOTHYROIDSM),Anxiety,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Anxiety
THYROID PREFERABLY (HYPOTHYROIDSM),Difficulty concentrating,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Difficulty concentrating
THYROID PREFERABLY (HYPOTHYROIDSM),Fatigue,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Fatigue
THYROID PREFERABLY (HYPOTHYROIDSM),Disturbed bowel movements,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Disturbed bowel movements
THYROID PREFERABLY (HYPOTHYROIDSM),Weight Gain,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Weight Gain
THYROID PREFERABLY (HYPOTHYROIDSM),Hair loss,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Hair loss
THYROID PREFERABLY (HYPOTHYROIDSM),Hand tremor,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Hand tremor
THYROID PREFERABLY (HYPOTHYROIDSM),Heat intolerance,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Heat intolerance
EYE HEALTH,Strain in the Eyes,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Strain in the Eyes
EYE HEALTH,Tears in the Eyes,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Tears in the Eyes
EYE HEALTH,Dry Eye,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Dry Eye
EYE HEALTH,Eye Floaters,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Eye Floaters
EYE HEALTH,Eye Cancer & Tumors,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Eye Cancer & Tumors
EYE HEALTH,Tired Eyes,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Tired Eyes
EYE HEALTH,Red Eyes,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Red Eyes
EYE HEALTH,Blurred Vision,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Blurred Vision
EYE HEALTH,Allergic Conjunctivitis,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Allergic Conjunctivitis
EYE HEALTH,Night Blindness,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Night Blindness
ELDERLY PEOPLE HEALTH,Dementia,,MULTI VITAMINS TABLETS,CALCIUM TABLET,SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR GOLDEN ELIXIR,,Calcium Tablet: 1 tablet daily after meals.,High,80,High,Dementia
ELDERLY PEOPLE HEALTH,Mental Disorder,,MULTI VITAMINS TABLETS,CALCIUM TABLET,SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR GOLDEN ELIXIR,,Calcium Tablet: 1 tablet daily after meals.,High,80,High,Mental Disorder
ELDERLY PEOPLE HEALTH,Difficult in healing physical injuries,,MULTI VITAMINS TABLETS,CALCIUM TABLET,SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR GOLDEN ELIXIR,,Calcium Tablet: 1 tablet daily after meals.,High,80,High,Difficult in healing physical injuries
ELDERLY PEOPLE HEALTH,Malnutrition,,MULTI VITAMINS TABLETS,CALCIUM TABLET,SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR GOLDEN ELIXIR,,Calcium Tablet: 1 tablet daily after meals.,High,80,High,Malnutrition
ELDERLY PEOPLE HEALTH,Sensory Impairment,,MULTI VITAMINS TABLETS,CALCIUM TABLET,SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR GOLDEN ELIXIR,,Calcium Tablet: 1 tablet daily after meals.,High,80,High,Sensory Impairment
ELDERLY PEOPLE HEALTH,Oral Health Problems,,MULTI VITAMINS TABLETS,CALCIUM TABLET,SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR GOLDEN ELIXIR,,Calcium Tablet: 1 tablet daily after meals.,High,80,High,Oral Health Problems
ELDERLY PEOPLE HEALTH,Generalised Pain,,MULTI VITAMINS TABLETS,CALCIUM TABLET,SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR GOLDEN ELIXIR,,Calcium Tablet: 1 tablet daily after meals.,High,80,High,Generalised Pain
SINUSITIS,Nasal inflammation,,ASTHPRASH OR N-ASTHEAL TABLET,PREMIUM TULSI MAX,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,,Asthprash: Adults 1 tbsp before sleep.,High,81,High,Nasal inflammation
SINUSITIS,Runny nose,,ASTHPRASH OR N-ASTHEAL TABLET,PREMIUM TULSI MAX,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,,Asthprash: Adults 1 tbsp before sleep.,High,81,High,Runny nose
SINUSITIS,Drainage down the back of the throat,,ASTHPRASH OR N-ASTHEAL TABLET,PREMIUM TULSI MAX,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,,Asthprash: Adults 1 tbsp before sleep.,High,81,High,Drainage down the back of the throat
SINUSITIS,Blocked or stuffy (congested) nose causing difficulty breathing through nose,,ASTHPRASH OR N-ASTHEAL TABLET,PREMIUM TULSI MAX,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,,Asthprash: Adults 1 tbsp before sleep.,High,81,High,Blocked or stuffy (congested) nose causing difficulty breathing through nose
SINUSITIS,Pain,,ASTHPRASH OR N-ASTHEAL TABLET,PREMIUM TULSI MAX,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,,Asthprash: Adults 1 tbsp before sleep.,High,81,High,Pain
SINUSITIS,Reduced sense of smell and taste,,ASTHPRASH OR N-ASTHEAL TABLET,PREMIUM TULSI MAX,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,,Asthprash: Adults 1 tbsp before sleep.,High,81,High,Reduced sense of smell and taste
