Recommendation_ID,Category,Category_Slug,Problem_or_Condition,Condition_Slug,Subcondition,Recommended_Product_1,Recommended_Product_2,Recommended_Product_3,Recommended_Product_4,All_Recommended_Products,Usage_or_Notes,Priority,Source_Page,Confidence,Original_Text_Snippet
REC-0044,PILES/FISSURE,piles-fissure,Bright Red Blood in Stools an Itchy Anus,bright-red-blood-in-stools-an-itchy-anus,,GO PILES TABLETS,GOPILES SYRUP,ADILIV TABLETS OR LIVEASE SYRUP,GAS-O-FREE SYRUP OR AROGYA CHURN + ALOE VERA GUAVA JUICE OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,GO PILES TABLETS | GOPILES SYRUP | ADILIV TABLETS | LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN + ALOE VERA GUAVA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Go Piles Tablets: 2 tablets 2-3 times daily.,High,66,High,Bright Red Blood in Stools an Itchy Anus
REC-0045,PILES/FISSURE,piles-fissure,Feeling Like You Still Need To Poo After going to the Toilet,feeling-like-you-still-need-to-poo-after-going-to-the-toilet,,GO PILES TABLETS,GOPILES SYRUP,ADILIV TABLETS OR LIVEASE SYRUP,GAS-O-FREE SYRUP OR AROGYA CHURN + ALOE VERA GUAVA JUICE OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,GO PILES TABLETS | GOPILES SYRUP | ADILIV TABLETS | LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN + ALOE VERA GUAVA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Go Piles Tablets: 2 tablets 2-3 times daily.,High,66,High,Feeling Like You Still Need To Poo After going to the Toilet
REC-0046,PILES/FISSURE,piles-fissure,Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom,slimy-mucus-in-your-underwear-or-on-toilet-paper-after-wiping-your-bottom,,GO PILES TABLETS,GOPILES SYRUP,ADILIV TABLETS OR LIVEASE SYRUP,GAS-O-FREE SYRUP OR AROGYA CHURN + ALOE VERA GUAVA JUICE OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,GO PILES TABLETS | GOPILES SYRUP | ADILIV TABLETS | LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN + ALOE VERA GUAVA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Go Piles Tablets: 2 tablets 2-3 times daily.,High,66,High,Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom
REC-0047,PILES/FISSURE,piles-fissure,Pain Around Your Anus,pain-around-your-anus,,GO PILES TABLETS,GOPILES SYRUP,ADILIV TABLETS OR LIVEASE SYRUP,GAS-O-FREE SYRUP OR AROGYA CHURN + ALOE VERA GUAVA JUICE OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,GO PILES TABLETS | GOPILES SYRUP | ADILIV TABLETS | LIVEASE SYRUP | GAS-O-FREE SYRUP | AROGYA CHURN + ALOE VERA GUAVA JUICE | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE,Go Piles Tablets: 2 tablets 2-3 times daily.,High,66,High,Pain Around Your Anus
REC-0048,IMMUNITY,immunity,"Cough, Cold and Fever",cough-cold-and-fever,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,HIENERGY TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | MULTI VITAMINS TABLETS,Hienergy Tablets: 2 tablets twice daily.,High,67,High,"Cough, Cold and Fever"
REC-0049,IMMUNITY,immunity,Slow Healing of Wound,slow-healing-of-wound,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,HIENERGY TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | MULTI VITAMINS TABLETS,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Slow Healing of Wound
REC-0050,IMMUNITY,immunity,Lack of Energy,lack-of-energy,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,HIENERGY TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | MULTI VITAMINS TABLETS,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Lack of Energy
REC-0051,IMMUNITY,immunity,Skin Allergies,skin-allergies,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,HIENERGY TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | MULTI VITAMINS TABLETS,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Skin Allergies
REC-0052,IMMUNITY,immunity,Loss Of Appetite,loss-of-appetite,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,HIENERGY TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | MULTI VITAMINS TABLETS,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Loss Of Appetite
REC-0053,IMMUNITY,immunity,Nausea and Diarrhoea,nausea-and-diarrhoea,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,HIENERGY TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | MULTI VITAMINS TABLETS,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Nausea and Diarrhoea
REC-0054,IMMUNITY,immunity,Delayed Growth and Development,delayed-growth-and-development,,HIENERGY TABLETS,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR MULTI VITAMINS TABLETS,,HIENERGY TABLETS | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | MULTI VITAMINS TABLETS,Hienergy Tablets: 2 tablets twice daily.,High,67,High,Delayed Growth and Development
REC-0055,RESPIRATORY HEALTH,respiratory-health,Running Nose,running-nose,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,ASTHPRASH | N-ASTHEAL TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | ASTHEAL COUGH SYRUP,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Running Nose
REC-0056,RESPIRATORY HEALTH,respiratory-health,Headache,headache,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,ASTHPRASH | N-ASTHEAL TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | ASTHEAL COUGH SYRUP,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Headache
REC-0057,RESPIRATORY HEALTH,respiratory-health,Fever,fever,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,ASTHPRASH | N-ASTHEAL TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | ASTHEAL COUGH SYRUP,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Fever
REC-0058,RESPIRATORY HEALTH,respiratory-health,"Cough, Sore Throat",cough-sore-throat,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,ASTHPRASH | N-ASTHEAL TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | ASTHEAL COUGH SYRUP,Asthprash: Adults 1 tbsp twice daily.,High,68,High,"Cough, Sore Throat"
REC-0059,RESPIRATORY HEALTH,respiratory-health,Breathlessness,breathlessness,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,ASTHPRASH | N-ASTHEAL TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | ASTHEAL COUGH SYRUP,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Breathlessness
REC-0060,RESPIRATORY HEALTH,respiratory-health,Pneumonia,pneumonia,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,ASTHPRASH | N-ASTHEAL TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | ASTHEAL COUGH SYRUP,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Pneumonia
REC-0061,RESPIRATORY HEALTH,respiratory-health,Fatigue,fatigue,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,ASTHPRASH | N-ASTHEAL TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | ASTHEAL COUGH SYRUP,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Fatigue
REC-0062,RESPIRATORY HEALTH,respiratory-health,Irritability,irritability,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,ASTHPRASH | N-ASTHEAL TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | ASTHEAL COUGH SYRUP,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Irritability
REC-0063,RESPIRATORY HEALTH,respiratory-health,Sleep Disturbances,sleep-disturbances,,ASTHPRASH OR N-ASTHEAL TABLET,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE,PREMIUM TULSI MAX OR ASTHEAL COUGH SYRUP,,ASTHPRASH | N-ASTHEAL TABLET | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | PREMIUM TULSI MAX | ASTHEAL COUGH SYRUP,Asthprash: Adults 1 tbsp twice daily.,High,68,High,Sleep Disturbances
REC-0064,MALE HEALTH ISSUES,male-health-issues,Hypoactive Sexual Desire Disorder,hypoactive-sexual-desire-disorder,,ADILAFORTE TABLET,SUPER FOOD CAPSULE,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,OMEGA 3-6-9 SOFTGEL CAPSULES,ADILAFORTE TABLET | SUPER FOOD CAPSULE | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES,Adilaforte Tablet: 1-2 tablets twice daily after meals.,High,69,High,Hypoactive Sexual Desire Disorder
REC-0065,MALE HEALTH ISSUES,male-health-issues,Erectile Dysfunction,erectile-dysfunction,,ADILAFORTE TABLET,SUPER FOOD CAPSULE,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,OMEGA 3-6-9 SOFTGEL CAPSULES,ADILAFORTE TABLET | SUPER FOOD CAPSULE | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES,Adilaforte Tablet: 1-2 tablets twice daily after meals.,High,69,High,Erectile Dysfunction
REC-0066,MALE HEALTH ISSUES,male-health-issues,Premature Ejaculation,premature-ejaculation,,ADILAFORTE TABLET,SUPER FOOD CAPSULE,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,OMEGA 3-6-9 SOFTGEL CAPSULES,ADILAFORTE TABLET | SUPER FOOD CAPSULE | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES,Adilaforte Tablet: 1-2 tablets twice daily after meals.,High,69,High,Premature Ejaculation
REC-0067,MALE HEALTH ISSUES,male-health-issues,Lack of libido,lack-of-libido,,ADILAFORTE TABLET,SUPER FOOD CAPSULE,GOLDEN ELIXIR OR SUPER RICH BERRY JUICE OR SEA BUCKTHORN JUICE,OMEGA 3-6-9 SOFTGEL CAPSULES,ADILAFORTE TABLET | SUPER FOOD CAPSULE | GOLDEN ELIXIR | SUPER RICH BERRY JUICE | SEA BUCKTHORN JUICE | OMEGA 3-6-9 SOFTGEL CAPSULES,Adilaforte Tablet: 1-2 tablets twice daily after meals.,High,69,High,Lack of libido
REC-0068,FEMALE HEALTH (HORMONAL IMBALANCE),female-health-hormonal-imbalance,Stress,stress,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,SUPER FOOD CAPSULE,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE,Adicardial Tablet: 1-2 tablets twice daily. Adicardial Syrup: 10-15 ml twice daily.,High,70,High,Stress
REC-0069,FEMALE HEALTH (HORMONAL IMBALANCE),female-health-hormonal-imbalance,"Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)",menstrual-problems-painful-periods-irregular-periods-dysfunctional-uterine-bleeding,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,SUPER FOOD CAPSULE,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE,Adicardial Tablet: 1-2 tablets twice daily. Adicardial Syrup: 10-15 ml twice daily.,High,70,High,"Menstrual Problems (Painful periods, irregular periods, Dysfunctional uterine bleeding)"
REC-0070,FEMALE HEALTH (HORMONAL IMBALANCE),female-health-hormonal-imbalance,Depression & Anxiety,depression-anxiety,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,SUPER FOOD CAPSULE,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE,Adicardial Tablet: 1-2 tablets twice daily. Adicardial Syrup: 10-15 ml twice daily.,High,70,High,Depression & Anxiety
REC-0071,FEMALE HEALTH (HORMONAL IMBALANCE),female-health-hormonal-imbalance,Hormonal Imbalance,hormonal-imbalance,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,SUPER FOOD CAPSULE,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE,Adicardial Tablet: 1-2 tablets twice daily. Adicardial Syrup: 10-15 ml twice daily.,High,70,High,Hormonal Imbalance
REC-0072,FEMALE HEALTH (WEAKNESS),female-health-weakness,Fatigue,fatigue,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,MULTI VITAMINS TABLETS | HB+ SYRUP | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Fatigue
REC-0073,FEMALE HEALTH (WEAKNESS),female-health-weakness,Pale or Yellowish Skin,pale-or-yellowish-skin,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,MULTI VITAMINS TABLETS | HB+ SYRUP | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Pale or Yellowish Skin
REC-0074,FEMALE HEALTH (WEAKNESS),female-health-weakness,Irregular Heartbeats,irregular-heartbeats,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,MULTI VITAMINS TABLETS | HB+ SYRUP | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Irregular Heartbeats
REC-0075,FEMALE HEALTH (WEAKNESS),female-health-weakness,Shortness of Breath,shortness-of-breath,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,MULTI VITAMINS TABLETS | HB+ SYRUP | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Shortness of Breath
REC-0076,FEMALE HEALTH (WEAKNESS),female-health-weakness,Dizziness or Light Headedness,dizziness-or-light-headedness,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,MULTI VITAMINS TABLETS | HB+ SYRUP | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Dizziness or Light Headedness
REC-0077,FEMALE HEALTH (WEAKNESS),female-health-weakness,Weakness,weakness,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,MULTI VITAMINS TABLETS | HB+ SYRUP | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Weakness
REC-0078,FEMALE HEALTH (WEAKNESS),female-health-weakness,Chest Pain,chest-pain,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,MULTI VITAMINS TABLETS | HB+ SYRUP | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Chest Pain
REC-0079,FEMALE HEALTH (WEAKNESS),female-health-weakness,Cold Hands and Feet,cold-hands-and-feet,,MULTI VITAMINS TABLETS,HB+ SYRUP,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,MULTI VITAMINS TABLETS | HB+ SYRUP | ADICARDIAL SYRUP | GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE + OMEGA 3-6-9 SOFTGEL CAPSULES,HB+ Syrup: 5-10 ml twice daily.,High,71,High,Cold Hands and Feet
REC-0080,WEIGHT MANAGEMENT,weight-management,Skin Sensitivity,skin-sensitivity,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,AMPLE MEAL | VITAL PROTEIN | L-ARGININE++ (NITRIC OXIDE PRECURSOR) | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE | NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Skin Sensitivity
REC-0081,WEIGHT MANAGEMENT,weight-management,Shortness of Breath,shortness-of-breath,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,AMPLE MEAL | VITAL PROTEIN | L-ARGININE++ (NITRIC OXIDE PRECURSOR) | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE | NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Shortness of Breath
REC-0082,WEIGHT MANAGEMENT,weight-management,Difficulty in Breathing,difficulty-in-breathing,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,AMPLE MEAL | VITAL PROTEIN | L-ARGININE++ (NITRIC OXIDE PRECURSOR) | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE | NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Difficulty in Breathing
REC-0083,WEIGHT MANAGEMENT,weight-management,Heart Palpitations,heart-palpitations,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,AMPLE MEAL | VITAL PROTEIN | L-ARGININE++ (NITRIC OXIDE PRECURSOR) | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE | NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Heart Palpitations
REC-0084,WEIGHT MANAGEMENT,weight-management,Sweating,sweating,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,AMPLE MEAL | VITAL PROTEIN | L-ARGININE++ (NITRIC OXIDE PRECURSOR) | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE | NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Sweating
REC-0085,WEIGHT MANAGEMENT,weight-management,Changes in Vision,changes-in-vision,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,AMPLE MEAL | VITAL PROTEIN | L-ARGININE++ (NITRIC OXIDE PRECURSOR) | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE | NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Changes in Vision
