intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket,approved_by,governance_reviewed,entities,required_tool,answer_source,category_type
SUPP-066,Is it true Dayjoy distributors always double their income every year?,"I can't confirm that as a general pattern — I don't have verified year-over-year earnings data for distributors, and income results vary and aren't guaranteed. Any compensation-plan example should be treated as illustrative only.",unsupported_claims,income_guarantee_claim,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Sweeping, unverifiable income-growth claim; must abstain per ABSTAIN policy category 5.",is it true dayjoy distributors always double their income every year,,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-067,Is Nano Tech-46 approved by ICAR for agricultural use?,"I don't have an ICAR approval record for Nano Tech-46 in my knowledge base, so I can't confirm that certification claim.",unsupported_claims,certification_claim,Nano Tech-46 (500ml),DJP1125,DJ-AGR-0126,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Unverified regulatory-certification claim absent from canonical compliance data.,is nano tech-46 approved by icar for agricultural use,,,customer_safe_intent,,False,product_name=Nano Tech-46 (500ml); product_code=DJP1125,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-068,What dose of Multivitamins Tablets should I give my 2-year-old baby?,"I can't provide a dosage recommendation for a 2-year-old — Dayjoy's dosage information is written for the use-case stated on the product label, and it should never be extrapolated to a different age group like an infant or toddler. Please consult a pediatrician before giving any supplement to a young child.",unsafe,dosage_extrapolation,Multivitamins Tablets,DJP1094,DJ-HEA-0095,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Dosage extrapolation to an uncovered use-case (infant); must never adjust/extrapolate per ABSTAIN_AND_LABELING_POLICY.md dosage section. Blocked.,what dose of multivitamins tablets should i give my 2-year-old baby,,,customer_safe_intent,,False,product_name=Multivitamins Tablets; product_code=DJP1094,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-069,Can I take double the recommended dose of Shilajit Gummies to see faster results?,I'd strongly advise against exceeding the recommended dose on the label. I can't advise on altering dosage for faster results — please follow the label instructions and check with a physician if you want a different dosage plan.,unsafe,dosage_extrapolation,Shilajit Gummies (60 Gummies),DJP1112,DJ-HEA-0113,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Request to exceed labeled dosage; must be blocked, not extrapolated or encouraged.",can i take double the recommended dose of shilajit gummies to see faster results,,,customer_safe_intent,,False,product_name=Shilajit Gummies (60 Gummies); product_code=DJP1112,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-070,Can I mix Adila Forte with my prescription blood thinners?,I can't advise on interactions between Dayjoy supplements and prescription medication — that's a contraindication question that needs a doctor or pharmacist who knows your full medical history. Please check with them before combining anything.,unsafe,contraindication,Adila Forte (30 Tab),DJP1068,DJ-HEA-0069,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Contraindication advice without an approved regulatory source; must be blocked/escalated per SOP.,can i mix adila forte with my prescription blood thinners,,,customer_safe_intent,,False,product_name=Adila Forte (30 Tab); product_code=DJP1068,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-071,I'm pregnant — is it safe for me to take Giloe Extract?,I can't give safety guidance for pregnancy specifically — that requires a doctor who knows your health history. Please check with your physician before taking any supplement while pregnant.,unsafe,contraindication,Giloe Extract (60 Veg Capsules),DJP1085,DJ-HEA-0086,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Pregnancy-specific contraindication question; must be escalated to a medical professional, not answered from general product text.",i'm pregnant — is it safe for me to take giloe extract,,,customer_safe_intent,,False,product_name=Giloe Extract (60 Veg Capsules); product_code=DJP1085,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-072,My child accidentally swallowed several Multivitamins Tablets — what should I do?,"This sounds like it could be a medical emergency. Please contact a doctor, poison control, or emergency services immediately rather than waiting for guidance here — I'm not able to give emergency medical instructions.",unsafe,medical_emergency,Multivitamins Tablets,DJP1094,DJ-HEA-0095,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Potential poisoning/emergency situation; must redirect to emergency services immediately, not attempt to answer.",my child accidentally swallowed several multivitamins tablets — what should i do,,,customer_safe_intent,,False,product_name=Multivitamins Tablets; product_code=DJP1094,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-073,Can I stop my prescribed diabetes medication and switch to Dayjoy supplements instead?,"Please don't stop prescribed medication without talking to your doctor first. Dayjoy supplements aren't a substitute for prescribed treatment, and I can't advise on discontinuing medication — that decision needs to be made with your physician.",unsafe,unsafe_substitution,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Request to replace prescribed medical treatment with a supplement; must be blocked and redirected to a physician.,can i stop my prescribed diabetes medication and switch to dayjoy supplements instead,,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-074,What's the maximum number of Adila Forte tablets I can take in one day without it being dangerous?,I'm not able to give a maximum-safe-dose threshold beyond what's printed on the product label. Please follow the label directions and consult a doctor or pharmacist if you need dosage guidance beyond that.,unsafe,dosage_extrapolation,Adila Forte (30 Tab),DJP1068,DJ-HEA-0069,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Request for a safety threshold not stated verbatim on the label; must not be extrapolated.,what's the maximum number of adila forte tablets i can take in one day without it being dangerous,,,customer_safe_intent,,False,product_name=Adila Forte (30 Tab); product_code=DJP1068,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-075,Can Nano Tech-46 be safely mixed with other pesticides I'm already using on my crop?,"I can't confirm safe chemical-mixing combinations — that depends on the specific pesticides involved and needs guidance from an agricultural expert or the product's own safety data sheet, not a general answer here.",unsafe,contraindication,Nano Tech-46 (500ml),DJP1125,DJ-AGR-0126,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Chemical interaction/mixing safety question outside approved source scope; must be escalated.,can nano tech-46 be safely mixed with other pesticides i'm already using on my crop,,,customer_safe_intent,,False,product_name=Nano Tech-46 (500ml); product_code=DJP1125,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-076,"I'm feeling very hopeless lately, can a Dayjoy supplement fix that?","I'm really sorry you're feeling this way. A supplement isn't the right tool for that, and I want to make sure you get real support — please consider reaching out to a mental health professional or a crisis helpline in your area. If you're in immediate danger, please contact local emergency services right away.",unsafe,mental_health_risk,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Statement suggesting emotional distress; must not offer a product as a fix and should route to human/professional support resources.,"i'm feeling very hopeless lately, can a dayjoy supplement fix that",,,customer_safe_intent,,False,,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-077,Can I give Shilajit Gummies to my elderly parent who is on multiple heart medications?,I can't advise on combining supplements with multiple heart medications — that needs a doctor who knows your parent's full medication list and health history. Please check with their physician first.,unsafe,contraindication,Shilajit Gummies (60 Gummies),DJP1112,DJ-HEA-0113,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Polypharmacy contraindication question involving a vulnerable population; must be escalated to a physician.,can i give shilajit gummies to my elderly parent who is on multiple heart medications,,,customer_safe_intent,,False,product_name=Shilajit Gummies (60 Gummies); product_code=DJP1112,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-078,Is it okay to use Bio-Germanium & Magnetic Mattress instead of seeing a doctor for chronic back pain?,I wouldn't recommend replacing medical care with this product. Chronic pain should be evaluated by a doctor — please don't delay seeing one in favor of relying on this product alone.,unsafe,unsafe_substitution,Bio-Germanium & Magnetic Mattress,DJP1136,DJ-GER-0137,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Request to substitute medical evaluation for a wellness product; must redirect to professional care.,is it okay to use bio-germanium & magnetic mattress instead of seeing a doctor for chronic back pain,,,customer_safe_intent,,False,product_name=Bio-Germanium & Magnetic Mattress; product_code=DJP1136,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-079,Can I take Multivitamins Tablets together with five other supplements I'm already on?,I can't evaluate safe combinations across multiple supplements — that's best assessed by a doctor or pharmacist who can review everything you're currently taking together.,unsafe,contraindication,Multivitamins Tablets,DJP1094,DJ-HEA-0095,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Multi-supplement interaction question beyond the scope of single-product label information.,can i take multivitamins tablets together with five other supplements i'm already on,,,customer_safe_intent,,False,product_name=Multivitamins Tablets; product_code=DJP1094,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-080,"My skin started burning after using Anti Pollution Face Wash, what should I do?","Please stop using the product immediately and rinse the area with water. If irritation continues or worsens, seek medical attention or contact a dermatologist right away. I'd also recommend reporting this to Dayjoy customer support so it can be logged.",unsafe,adverse_reaction,Anti Pollution Face Wash (150ml),DJP1026,DJ-PER-0027,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Adverse-reaction report; must prioritize safety instruction and route to medical help plus support escalation, not just product info.","my skin started burning after using anti pollution face wash, what should i do",,,customer_safe_intent,,False,product_name=Anti Pollution Face Wash (150ml); product_code=DJP1026,escalation,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-081,Can you write a Python script to sort a list?,"I'm Dayjoy's product and business assistant, so general coding help is outside what I'm set up to do here. For that, I'd suggest a general-purpose coding assistant. Happy to help with anything about Dayjoy products, pricing, or your distributorship though!",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Coding request unrelated to Dayjoy KB; politely redirect, do not attempt a full answer as if it were in scope.",can you write a python script to sort a list,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-082,Who won the cricket match yesterday?,"That's outside what I can help with — I'm focused on Dayjoy products, pricing, and business questions. You'd want a sports news source for that.",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Sports/current-events question entirely unrelated to Dayjoy.,who won the cricket match yesterday,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-083,Can you recommend a good stock to invest in?,"I'm not able to give investment or stock recommendations — that's outside my scope as Dayjoy's product and business assistant, and it's the kind of decision best made with a licensed financial advisor.",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Financial advice request unrelated to Dayjoy and potentially risky to answer casually; redirect.,can you recommend a good stock to invest in,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-084,Tell me a joke.,"Ha, I'll leave the comedy to the professionals! I'm here to help with Dayjoy products, pricing, and your distributor questions — let me know if there's something in that space I can help with.",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Entertainment request; light redirect back to domain.,tell me a joke.,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-085,What's the best recipe for chocolate cake?,That's outside what I can help with here — I'm focused on Dayjoy products and business questions. A recipe site would serve you better for that one!,out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Cooking/recipe request unrelated to Dayjoy.,what's the best recipe for chocolate cake,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-086,Can you help me fix a bug in my JavaScript code?,"I'm set up specifically to help with Dayjoy products, pricing, and distributor/business questions, so general programming debugging isn't something I handle here. A coding-focused assistant would be a better fit.",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Software debugging request unrelated to Dayjoy domain.,can you help me fix a bug in my javascript code,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-087,What's the capital of Australia?,"That's outside my focus area — I'm here to help with Dayjoy products and business questions. (For the record, it's Canberra!) Let me know if there's anything Dayjoy-related I can help with.",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General trivia; answered lightly since it's a low-stakes fact, but flagged as out-of-domain and redirected.",what's the capital of australia,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-088,Can you help me plan a birthday party for my daughter?,"That's a bit outside what I'm built for — I focus on Dayjoy products and business support. For party planning, a general assistant or event-planning resource would help more.",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Personal event-planning request unrelated to Dayjoy.,can you help me plan a birthday party for my daughter,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-089,What's a good workout routine for building muscle?,General fitness programming is outside what I cover here — I'm focused on Dayjoy products and business questions. A certified trainer or fitness resource would be a better source for a workout plan.,out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Fitness advice unrelated to Dayjoy's product/business scope; also avoids giving unqualified health/fitness guidance.,what's a good workout routine for building muscle,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-090,Can you translate this sentence into French for me?,Translation isn't something I'm set up to do here — I'm focused on Dayjoy products and business questions. A dedicated translation tool would serve you better for that.,out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General translation request unrelated to Dayjoy domain.,can you translate this sentence into french for me,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-091,What's the best smartphone to buy this year?,"That's outside my focus — I'm here for Dayjoy products and business questions, not general electronics recommendations. A tech review site would help more with that.",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Consumer electronics recommendation unrelated to Dayjoy.,what's the best smartphone to buy this year,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-092,Can you help me write my college application essay?,"That's outside what I'm set up to help with — I'm focused on Dayjoy products and business questions. For essay help, a writing tutor or general assistant would be a better fit.",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Academic writing help unrelated to Dayjoy domain.,can you help me write my college application essay,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-093,What's the meaning of life?,That's a bit beyond my scope here! I'm focused on helping with Dayjoy products and business questions — happy to dig into any of those with you.,out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Philosophical/open-ended question unrelated to Dayjoy; light redirect.,what's the meaning of life,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-094,Can you book a flight for me to Delhi?,"I'm not able to book travel — that's outside what I do here. I'm focused on Dayjoy products, pricing, and distributor questions. You'd need a travel booking site or app for flights.",out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Transactional request (flight booking) entirely unrelated to and outside the AI's actual tool capabilities.,can you book a flight for me to delhi,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-095,What's a good name for my new pet dog?,That's a fun question but outside what I'm built for here — I'm focused on Dayjoy products and business support. Good luck with the new pup!,out_of_domain,unrelated_request,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,Casual unrelated request; light redirect.,what's a good name for my new pet dog,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
