intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket,approved_by
468,Which product is good for Indigestion?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,indigestion,indigestion,,customer_safe_intent,
473,"I have Slow Wound Healing, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE for Slow Wound Healing. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have slow wound healing,have slow wound healing,,customer_safe_intent,
476,Which product is good for Hypoactive Sexual Desire Disorder?,"Based on Dayjoy recommendations, you may consider ADILAFORTE TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,hypoactive sexual desire disorder,hypoactive sexual desire disorder,,customer_safe_intent,
477,What is Seabuckthron Scrub (30g)?,Seabuckthron Scrub (30g) is a PERSONAL CARE product by Dayjoy.,informational,product_info,Seabuckthron Scrub (30g),DJP1047,DJ-PER-0048,high,Products Master,,seabuckthron scrub 30g,seabuckthron scrub 30g,Seabuckthron Scrub (30g),customer_safe_intent,
479,Tell me about Adilipo (120 Tab),This is a premium product under Curind.,informational,product_discovery,Adilipo (120 Tab),DJP1070,DJ-HEA-0071,high,Products Master,,tell about adilipo 120 tab,tell about adilipo 120 tab,Adilipo (120 Tab),customer_safe_intent,
481,Is Dhaniya Powder (500g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Dhaniya Powder (500g),DJP1007,DJ-FOO-0008,high,Products Master,,dhaniya powder 500g food,dhaniya powder 500g food,Dhaniya Powder (500g),customer_safe_intent,
482,Which product is good for Joint Stiffness & Noises (Crepitations)?,"Based on Dayjoy recommendations, you may consider ORTHOFIX TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,joint stiffness noises crepitations,joint stiffness noises crepitations,,customer_safe_intent,
483,Is All in 1 Surface Cleaner (500ml) a food product?,It is categorized under HOME CARE.,informational,product_category,All in 1 Surface Cleaner (500ml),DJP1118,DJ-HOM-0119,high,Products Master,,all 1 surface cleaner 500ml food,all 1 surface cleaner 500ml food,All in 1 Surface Cleaner (500ml),customer_safe_intent,
484,Do I need to maintain inventory?,No large investments in inventory or stock management are required.,business,joining,,,,high,Dayjoy Brochure / Loyalty Program,,do need maintain inventory,do need maintain inventory,,customer_safe_intent,
488,Do you have Aloevera Gel (100g)?,"Yes, Aloevera Gel (100g) is available. Code: DJP1028",transactional,availability,Aloevera Gel (100g),DJP1028,DJ-PER-0029,high,Products Master,,do you have aloevera gel 100g,do you have aloevera gel 100g,Aloevera Gel (100g),customer_safe_intent,
489,What is the MRP of Sunscreen SPF 50+ (50gm)?,The MRP is ₹349.0.,pricing,mrp,Sunscreen SPF 50+ (50gm),DJP1059,DJ-SKI-0060,high,Price List,,mrp sunscreen spf 50 50gm,mrp sunscreen spf 50 50gm,Sunscreen SPF 50+ (50gm),customer_safe_intent,
493,Is Dayjoy a get-rich-quick scheme?,"No, Dayjoy does not present its business as a get-rich-quick scheme. It requires commitment and effort.",compliance,policy,,,,high,FSSAI / Social Media Policy / Income Disclaimer,,dayjoy get rich quick scheme,dayjoy get rich quick scheme,,customer_safe_intent,
494,"I have Night Blindness, what should I take?","Dayjoy suggests EYE ELIXIR DROPS for Night Blindness. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have night blindness,have night blindness,,customer_safe_intent,
495,Is New Perfect-Ion a food product?,It is categorized under AQUA ESSENTIALS.,informational,product_category,New Perfect-Ion,DJP1140,DJ-AQU-0141,high,Products Master,,new perfect ion food,new perfect ion food,New Perfect-Ion,customer_safe_intent,
498,Is Perfect-Ion Leaflets (Set of 25) a food product?,It is categorized under AQUA ESSENTIALS.,informational,product_category,Perfect-Ion Leaflets (Set of 25),DJP1142,DJ-AQU-0143,high,Products Master,,perfect ion leaflets set 25 food,perfect ion leaflets set 25 food,Perfect-Ion Leaflets (Set of 25),customer_safe_intent,
499,What is Seabuckthron Cleanser (30g)?,Seabuckthron Cleanser (30g) is a PERSONAL CARE product by Dayjoy.,informational,product_info,Seabuckthron Cleanser (30g),DJP1046,DJ-PER-0047,high,Products Master,,seabuckthron cleanser 30g,seabuckthron cleanser 30g,Seabuckthron Cleanser (30g),customer_safe_intent,
500,"Which product is good for Acne, Psoriasis?","Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,acne psoriasis,acne psoriasis,,customer_safe_intent,
501,Do you have Nonima (500ml)?,"Yes, Nonima (500ml) is available. Code: DJP1095",transactional,availability,Nonima (500ml),DJP1095,DJ-HEA-0096,high,Products Master,,do you have nonima 500ml,do you have nonima 500ml,Nonima (500ml),customer_safe_intent,
503,Do you have JoySpread 80+ Gold (250ml)?,"Yes, JoySpread 80+ Gold (250ml) is available. Code: DJP1131",transactional,availability,JoySpread 80+ Gold (250ml),DJP1131,DJ-AGR-0132,high,Products Master,,do you have joyspread 80 gold 250ml,do you have joyspread 80 gold 250ml,JoySpread 80+ Gold (250ml),customer_safe_intent,
505,"I have Abnormal Heart Rhythms, what should I take?","Dayjoy suggests ADILIPO TABLET for Abnormal Heart Rhythms. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have abnormal heart rhythms,have abnormal heart rhythms,,customer_safe_intent,
507,"I have Palpitations, what should I take?","Dayjoy suggests ADILIPO TABLET for Palpitations. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have palpitations,have palpitations,,customer_safe_intent,
508,What is the MRP of Quick 6 Pain Relief Gel (30g)?,The MRP is ₹149.0.,pricing,mrp,Quick 6 Pain Relief Gel (30g),DJP1101,DJ-HEA-0102,high,Price List,,mrp quick 6 pain relief gel 30g,mrp quick 6 pain relief gel 30g,Quick 6 Pain Relief Gel (30g),customer_safe_intent,
509,Tell me about JoySpread 80+ Gold (100ml),This is a premium product under HappyGrow.,informational,product_discovery,JoySpread 80+ Gold (100ml),DJP1132,DJ-AGR-0133,high,Products Master,,tell about joyspread 80 gold 100ml,tell about joyspread 80 gold 100ml,JoySpread 80+ Gold (100ml),customer_safe_intent,
510,Are Liquid Detergent (1Ltr.) and N-astheal (60 Tab) the same?,"No, Liquid Detergent (1Ltr.) is in HOME CARE while N-astheal (60 Tab) is in HEALTH CARE.",comparison,category_difference,,,,high,Products Master,,liquid detergent 1ltr and n astheal 60 tab same,liquid detergent 1ltr and n astheal 60 tab same,,customer_safe_intent,
511,What is Shilajit Gummies (60 Gummies)?,Shilajit Gummies (60 Gummies) is a HEALTH CARE product by Dayjoy.,informational,product_info,Shilajit Gummies (60 Gummies),DJP1112,DJ-HEA-0113,high,Products Master,,shilajit gummies 60 gummies,shilajit gummies 60 gummies,Shilajit Gummies (60 Gummies),customer_safe_intent,
516,"I have Pale or Yellowish Skin, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Pale or Yellowish Skin. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have pale or yellowish skin,have pale or yellowish skin,,customer_safe_intent,
517,What is Dayjoy Backpack Bag?,Dayjoy Backpack Bag is a PROMOTION TOOLS product by Dayjoy.,informational,product_info,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Products Master,,dayjoy backpack bag,dayjoy backpack bag,Dayjoy Backpack Bag,customer_safe_intent,
519,Tell me about Adicardial (120 Tab),This is a premium product under Curind.,informational,product_discovery,Adicardial (120 Tab),DJP1066,DJ-HEA-0067,high,Products Master,,tell about adicardial 120 tab,tell about adicardial 120 tab,Adicardial (120 Tab),customer_safe_intent,
521,Is Sanitary Pad (XXL) (Pack of 10) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Sanitary Pad (XXL) (Pack of 10),DJP1044,DJ-PER-0045,high,Products Master,,sanitary pad xxl pack 10 food,sanitary pad xxl pack 10 food,Sanitary Pad (XXL) (Pack of 10),customer_safe_intent,
522,"I have Sensory Impairment, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Sensory Impairment. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have sensory impairment,have sensory impairment,,customer_safe_intent,
524,Which product is good for Bright Red Blood in Stools an Itchy Anus?,"Based on Dayjoy recommendations, you may consider GO PILES TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,bright red blood stools itchy anus,bright red blood stools itchy anus,,customer_safe_intent,
529,"I have Excessive Production of Gastric Acid, what should I take?","Dayjoy suggests LIVEASE SYRUP OR GAS-O-FREE SYRUP for Excessive Production of Gastric Acid. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have excessive production gastric acid,have excessive production gastric acid,,customer_safe_intent,
531,What is the MRP of Seabuckthron Face Pack (30g)?,The MRP is ₹225.0.,pricing,mrp,Seabuckthron Face Pack (30g),DJP1050,DJ-PER-0051,high,Price List,,mrp seabuckthron face pack 30g,mrp seabuckthron face pack 30g,Seabuckthron Face Pack (30g),customer_safe_intent,
532,Which product is good for Blocked or stuffy (congested) nose causing difficulty breathing through nose?,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,blocked or stuffy congested nose causing difficulty breathing through nose,blocked or stuffy congested nose causing difficulty breathing through nose,,customer_safe_intent,
533,What is the MRP of Regain Aloevera Shampoo (300ml)?,The MRP is ₹349.0.,pricing,mrp,Regain Aloevera Shampoo (300ml),DJP1041,DJ-PER-0042,high,Price List,,mrp regain aloevera shampoo 300ml,mrp regain aloevera shampoo 300ml,Regain Aloevera Shampoo (300ml),customer_safe_intent,
534,"Which product is good for Swollen Ankles, Legs or Abdomen?","Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,swollen ankles legs or abdomen,swollen ankles legs or abdomen,,customer_safe_intent,
535,Is Ashvagandha Extract (60 Veg Capsules) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Ashvagandha Extract (60 Veg Capsules),DJP1075,DJ-HEA-0076,high,Products Master,,ashvagandha extract 60 veg capsules food,ashvagandha extract 60 veg capsules food,Ashvagandha Extract (60 Veg Capsules),customer_safe_intent,
538,Are Dayjoy Bike Sticker and Organic Jeera (250g) the same?,"No, Dayjoy Bike Sticker is in PROMOTION TOOLS while Organic Jeera (250g) is in FOOD PRODUCTS.",comparison,category_difference,,,,high,Products Master,,dayjoy bike sticker and organic jeera 250g same,dayjoy bike sticker and organic jeera 250g same,,customer_safe_intent,
541,Which product is good for Physical Retardation?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,physical retardation,physical retardation,,customer_safe_intent,
542,"I have Chest Pain, what should I take?","Dayjoy suggests ADILIPO TABLET for Chest Pain. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have chest pain,have chest pain,,customer_safe_intent,
545,Do you have Toilet Bowl Cleaner (500ml)?,"Yes, Toilet Bowl Cleaner (500ml) is available. Code: DJP1116",transactional,availability,Toilet Bowl Cleaner (500ml),DJP1116,DJ-HOM-0117,high,Products Master,,do you have toilet bowl cleaner 500ml,do you have toilet bowl cleaner 500ml,Toilet Bowl Cleaner (500ml),customer_safe_intent,
547,What is the MRP of Aloevera Gel (100g)?,The MRP is ₹150.0.,pricing,mrp,Aloevera Gel (100g),DJP1028,DJ-PER-0029,high,Price List,,mrp aloevera gel 100g,mrp aloevera gel 100g,Aloevera Gel (100g),customer_safe_intent,
548,What is the MRP of Hi-Energy (60 Tab)?,The MRP is ₹1199.0.,pricing,mrp,Hi-Energy (60 Tab),DJP1090,DJ-HEA-0091,high,Price List,,mrp hi energy 60 tab,mrp hi energy 60 tab,Hi-Energy (60 Tab),customer_safe_intent,
549,Which product is good for Pneumonia?,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,pneumonia,pneumonia,,customer_safe_intent,
550,Is Dishwash Liquid Gel (500ml) a food product?,It is categorized under HOME CARE.,informational,product_category,Dishwash Liquid Gel (500ml),DJP1115,DJ-HOM-0116,high,Products Master,,dishwash liquid gel 500ml food,dishwash liquid gel 500ml food,Dishwash Liquid Gel (500ml),customer_safe_intent,
551,Is Marine Collagen (200g) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Marine Collagen (200g),DJP1114,DJ-HEA-0115,high,Products Master,,marine collagen 200g food,marine collagen 200g food,Marine Collagen (200g),customer_safe_intent,
552,Do you have Apple Cider Vinegar (3X20 Tablets)?,"Yes, Apple Cider Vinegar (3X20 Tablets) is available. Code: DJP1113",transactional,availability,Apple Cider Vinegar (3X20 Tablets),DJP1113,DJ-HEA-0114,high,Products Master,,do you have apple cider vinegar 3x20 tablets,do you have apple cider vinegar 3x20 tablets,Apple Cider Vinegar (3X20 Tablets),customer_safe_intent,
553,Tell me about Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),This is a premium product under Curind.,informational,product_discovery,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),DJP1080,DJ-HEA-0081,high,Products Master,,tell about golden elixir nano curcumin drops pack 2 bottles each 25ml,tell about golden elixir nano curcumin drops pack 2 bottles each 25ml,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),customer_safe_intent,
554,Tell me about ELITE PACKAGE,This is a premium product under Dayjoy.,informational,product_discovery,ELITE PACKAGE,DJP1166,DJ-COM-0167,high,Products Master,,tell about elite package,tell about elite package,ELITE PACKAGE,customer_safe_intent,
556,Which product is good for Disturbed bowel movements?,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,disturbed bowel movements,disturbed bowel movements,,customer_safe_intent,
560,"I have Hormonal Imbalance, what should I take?","Dayjoy suggests ADICARDIAL TABLET for Hormonal Imbalance. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have hormonal imbalance,have hormonal imbalance,,customer_safe_intent,
561,Do you have Aqua Energiser (Pack of 3)?,"Yes, Aqua Energiser (Pack of 3) is available. Code: DJP1138",transactional,availability,Aqua Energiser (Pack of 3),DJP1138,DJ-AQU-0139,high,Products Master,,do you have aqua energiser pack 3,do you have aqua energiser pack 3,Aqua Energiser (Pack of 3),customer_safe_intent,
567,What is Dayjoy's mission?,To create values for customers through high-quality products backed by a satisfaction guarantee and uncompromising principles.,company,info,,,,high,Dayjoy Brochure,,dayjoy s mission,dayjoy s mission,,customer_safe_intent,
570,Is Dayjoy Necktie a food product?,It is categorized under CLOTHING.,informational,product_category,Dayjoy Necktie,DJP1121,DJ-CLO-0122,high,Products Master,,dayjoy necktie food,dayjoy necktie food,Dayjoy Necktie,customer_safe_intent,
571,What is the MRP of AcneX Anti-Acne Foaming Cleanser (100ml)?,The MRP is ₹399.0.,pricing,mrp,AcneX Anti-Acne Foaming Cleanser (100ml),DJP1062,DJ-SKI-0063,high,Price List,,mrp acnex anti acne foaming cleanser 100ml,mrp acnex anti acne foaming cleanser 100ml,AcneX Anti-Acne Foaming Cleanser (100ml),customer_safe_intent,
572,Tell me about Dayjoy Mug,This is a premium product under Dayjoy.,informational,product_discovery,Dayjoy Mug,DJP1149,DJ-PRO-0150,high,Products Master,,tell about dayjoy mug,tell about dayjoy mug,Dayjoy Mug,customer_safe_intent,
573,Which product is good for Inflammation & Swelling?,"Based on Dayjoy recommendations, you may consider ORTHOFIX TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,inflammation swelling,inflammation swelling,,customer_safe_intent,
574,Tell me about Dayjoy Necktie,This is a premium product under Domatti.,informational,product_discovery,Dayjoy Necktie,DJP1121,DJ-CLO-0122,high,Products Master,,tell about dayjoy necktie,tell about dayjoy necktie,Dayjoy Necktie,customer_safe_intent,
577,What is Himalayan Pink Salt Sprinkler (200g)?,Himalayan Pink Salt Sprinkler (200g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Himalayan Pink Salt Sprinkler (200g),DJP1012,DJ-FOO-0013,high,Products Master,,himalayan pink salt sprinkler 200g,himalayan pink salt sprinkler 200g,Himalayan Pink Salt Sprinkler (200g),customer_safe_intent,
578,Is Mirchi Powder (500g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Mirchi Powder (500g),DJP1018,DJ-FOO-0019,high,Products Master,,mirchi powder 500g food,mirchi powder 500g food,Mirchi Powder (500g),customer_safe_intent,
579,"I have Lack of libido, what should I take?","Dayjoy suggests ADILAFORTE TABLET for Lack of libido. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have lack libido,have lack libido,,customer_safe_intent,
585,Do you have Dhaniya Powder (25g)?,"Yes, Dhaniya Powder (25g) is available. Code: DJP1005",transactional,availability,Dhaniya Powder (25g),DJP1005,DJ-FOO-0006,high,Products Master,,do you have dhaniya powder 25g,do you have dhaniya powder 25g,Dhaniya Powder (25g),customer_safe_intent,
586,What is Omega 3-6-9?,Omega 3-6-9 is a HEALTH CARE product by Dayjoy.,informational,product_info,Omega 3-6-9,DJP1100,DJ-HEA-0101,high,Products Master,,omega 3 6 9,omega 3 6 9,Omega 3-6-9,customer_safe_intent,
587,Tell me about HB+ (500ml),This is a premium product under Curind.,informational,product_discovery,HB+ (500ml),DJP1089,DJ-HEA-0090,high,Products Master,,tell about hb 500ml,tell about hb 500ml,HB+ (500ml),customer_safe_intent,
588,Tell me about Seabuckthron Cleanser (30g),This is a premium product under Wild Muse.,informational,product_discovery,Seabuckthron Cleanser (30g),DJP1046,DJ-PER-0047,high,Products Master,,tell about seabuckthron cleanser 30g,tell about seabuckthron cleanser 30g,Seabuckthron Cleanser (30g),customer_safe_intent,
591,Do you have AGRI STARTER PACKAGE?,"Yes, AGRI STARTER PACKAGE is available. Code: DJP1168",transactional,availability,AGRI STARTER PACKAGE,DJP1168,DJ-COM-0169,high,Products Master,,do you have agri starter package,do you have agri starter package,AGRI STARTER PACKAGE,customer_safe_intent,
593,Tell me about Aloevera with Guava Juice (1L),This is a premium product under Curind.,informational,product_discovery,Aloevera with Guava Juice (1L),DJP1073,DJ-HEA-0074,high,Products Master,,tell about aloevera guava juice 1l,tell about aloevera guava juice 1l,Aloevera with Guava Juice (1L),customer_safe_intent,
595,What is the MRP of Seabuckthron Facial Fluid (10ml)?,The MRP is ₹225.0.,pricing,mrp,Seabuckthron Facial Fluid (10ml),DJP1051,DJ-PER-0052,high,Price List,,mrp seabuckthron facial fluid 10ml,mrp seabuckthron facial fluid 10ml,Seabuckthron Facial Fluid (10ml),customer_safe_intent,
599,What is the MRP of Haldi Powder (200g)?,The MRP is ₹135.0.,pricing,mrp,Haldi Powder (200g),DJP1010,DJ-FOO-0011,high,Price List,,mrp haldi powder 200g,mrp haldi powder 200g,Haldi Powder (200g),customer_safe_intent,
601,What is the MRP of Total Joy Rice Bran Oil (2 Litre)?,The MRP is ₹599.0.,pricing,mrp,Total Joy Rice Bran Oil (2 Litre),DJP1022,DJ-FOO-0023,high,Price List,,mrp total joy rice bran oil 2 litre,mrp total joy rice bran oil 2 litre,Total Joy Rice Bran Oil (2 Litre),customer_safe_intent,
602,Do you have Perfect-Ion Testing Solutions?,"Yes, Perfect-Ion Testing Solutions is available. Code: DJP1141",transactional,availability,Perfect-Ion Testing Solutions,DJP1141,DJ-AQU-0142,high,Products Master,,do you have perfect ion testing solutions,do you have perfect ion testing solutions,Perfect-Ion Testing Solutions,customer_safe_intent,
603,Which product is good for Runny nose?,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,runny nose,runny nose,,customer_safe_intent,
604,What is the MRP of Mirchi Powder (500g)?,The MRP is ₹335.0.,pricing,mrp,Mirchi Powder (500g),DJP1018,DJ-FOO-0019,high,Price List,,mrp mirchi powder 500g,mrp mirchi powder 500g,Mirchi Powder (500g),customer_safe_intent,
607,What is Dishwash Liquid Gel (500ml)?,Dishwash Liquid Gel (500ml) is a HOME CARE product by Dayjoy.,informational,product_info,Dishwash Liquid Gel (500ml),DJP1115,DJ-HOM-0116,high,Products Master,,dishwash liquid gel 500ml,dishwash liquid gel 500ml,Dishwash Liquid Gel (500ml),customer_safe_intent,
609,Tell me about Ample Meal - Meal Replacement Nutritional Shake (500g),This is a premium product under Curind.,informational,product_discovery,Ample Meal - Meal Replacement Nutritional Shake (500g),DJP1109,DJ-HEA-0110,high,Products Master,,tell about ample meal meal replacement nutritional shake 500g,tell about ample meal meal replacement nutritional shake 500g,Ample Meal - Meal Replacement Nutritional Shake (500g),customer_safe_intent,
610,Which product is good for Abnormal Heart Rhythms?,"Based on Dayjoy recommendations, you may consider ADILIPO TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,abnormal heart rhythms,abnormal heart rhythms,,customer_safe_intent,
612,What is Premium Tulsi Max (30ml)?,Premium Tulsi Max (30ml) is a HEALTH CARE product by Dayjoy.,informational,product_info,Premium Tulsi Max (30ml),DJP1106,DJ-HEA-0107,high,Products Master,,premium tulsi max 30ml,premium tulsi max 30ml,Premium Tulsi Max (30ml),customer_safe_intent,
613,Which product is good for Hair loss?,"Based on Dayjoy recommendations, you may consider ADICARDIAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,hair loss,hair loss,,customer_safe_intent,
615,What is Apple Cider Vinegar (3X20 Tablets)?,Apple Cider Vinegar (3X20 Tablets) is a HEALTH CARE product by Dayjoy.,informational,product_info,Apple Cider Vinegar (3X20 Tablets),DJP1113,DJ-HEA-0114,high,Products Master,,apple cider vinegar 3x20 tablets,apple cider vinegar 3x20 tablets,Apple Cider Vinegar (3X20 Tablets),customer_safe_intent,
617,"I have Bright Red Blood in Stools an Itchy Anus, what should I take?","Dayjoy suggests GO PILES TABLETS for Bright Red Blood in Stools an Itchy Anus. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have bright red blood stools itchy anus,have bright red blood stools itchy anus,,customer_safe_intent,
618,What is Amara Beauty Kajal?,Amara Beauty Kajal is a COLOR COSMETICS product by Dayjoy.,informational,product_info,Amara Beauty Kajal,DJP1063,DJ-COL-0064,high,Products Master,,amara beauty kajal,amara beauty kajal,Amara Beauty Kajal,customer_safe_intent,
619,Are STANDARD PACKAGE and Dhaniya Powder (25g) the same?,"No, STANDARD PACKAGE is in COMBO PACKAGES while Dhaniya Powder (25g) is in FOOD PRODUCTS.",comparison,category_difference,,,,high,Products Master,,standard package and dhaniya powder 25g same,standard package and dhaniya powder 25g same,,customer_safe_intent,
621,Which product is good for Difficulty in Breathing?,"Based on Dayjoy recommendations, you may consider AMPLE MEAL. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,difficulty breathing,difficulty breathing,,customer_safe_intent,
624,"I have Blurred Vision, what should I take?","Dayjoy suggests DIBEAT TABLETS for Blurred Vision. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have blurred vision,have blurred vision,,customer_safe_intent,
636,Is Haldi Powder (200g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Haldi Powder (200g),DJP1010,DJ-FOO-0011,high,Products Master,,haldi powder 200g food,haldi powder 200g food,Haldi Powder (200g),customer_safe_intent,
638,Is Deep Cleansing Face Wash (100ml) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Deep Cleansing Face Wash (100ml),DJP1052,DJ-PER-0053,high,Products Master,,deep cleansing face wash 100ml food,deep cleansing face wash 100ml food,Deep Cleansing Face Wash (100ml),customer_safe_intent,
640,"I have Sleeplessness, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Sleeplessness. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have sleeplessness,have sleeplessness,,customer_safe_intent,
641,Do you have Joy-O-Zyme (500ml)?,"Yes, Joy-O-Zyme (500ml) is available. Code: DJP1130",transactional,availability,Joy-O-Zyme (500ml),DJP1130,DJ-AGR-0131,high,Products Master,,do you have joy o zyme 500ml,do you have joy o zyme 500ml,Joy-O-Zyme (500ml),customer_safe_intent,
645,What is English One-Page Compensation Plan (Set of 25 Leaflets)?,English One-Page Compensation Plan (Set of 25 Leaflets) is a PROMOTION TOOLS product by Dayjoy.,informational,product_info,English One-Page Compensation Plan (Set of 25 Leaflets),DJP1159,DJ-PRO-0160,high,Products Master,,english one page compensation plan set 25 leaflets,english one page compensation plan set 25 leaflets,English One-Page Compensation Plan (Set of 25 Leaflets),customer_safe_intent,
646,What is Amara Beauty Eyeliner?,Amara Beauty Eyeliner is a COLOR COSMETICS product by Dayjoy.,informational,product_info,Amara Beauty Eyeliner,DJP1064,DJ-COL-0065,high,Products Master,,amara beauty eyeliner,amara beauty eyeliner,Amara Beauty Eyeliner,customer_safe_intent,
648,What is Total Joy Rice Bran Oil (2 Litre)?,Total Joy Rice Bran Oil (2 Litre) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Total Joy Rice Bran Oil (2 Litre),DJP1022,DJ-FOO-0023,high,Products Master,,total joy rice bran oil 2 litre,total joy rice bran oil 2 litre,Total Joy Rice Bran Oil (2 Litre),customer_safe_intent,
650,Do you have Dhaniya Powder (500g)?,"Yes, Dhaniya Powder (500g) is available. Code: DJP1007",transactional,availability,Dhaniya Powder (500g),DJP1007,DJ-FOO-0008,high,Products Master,,do you have dhaniya powder 500g,do you have dhaniya powder 500g,Dhaniya Powder (500g),customer_safe_intent,
653,Tell me about New Total Joy Rice Bran Oil (1 Litre),This is a premium product under Total Joy.,informational,product_discovery,New Total Joy Rice Bran Oil (1 Litre),DJP1021,DJ-FOO-0022,high,Products Master,,tell about new total joy rice bran oil 1 litre,tell about new total joy rice bran oil 1 litre,New Total Joy Rice Bran Oil (1 Litre),customer_safe_intent,
654,What is the MRP of Aloevera with Guava Juice (1L)?,The MRP is ₹1499.0.,pricing,mrp,Aloevera with Guava Juice (1L),DJP1073,DJ-HEA-0074,high,Price List,,mrp aloevera guava juice 1l,mrp aloevera guava juice 1l,Aloevera with Guava Juice (1L),customer_safe_intent,
655,Do you have Seabuckthron Massage Cream (30g)?,"Yes, Seabuckthron Massage Cream (30g) is available. Code: DJP1049",transactional,availability,Seabuckthron Massage Cream (30g),DJP1049,DJ-PER-0050,high,Products Master,,do you have seabuckthron massage cream 30g,do you have seabuckthron massage cream 30g,Seabuckthron Massage Cream (30g),customer_safe_intent,
657,Do you have Eye Health++ (60 Capsules)?,"Yes, Eye Health++ (60 Capsules) is available. Code: DJP1087",transactional,availability,Eye Health++ (60 Capsules),DJP1087,DJ-HEA-0088,high,Products Master,,do you have eye health 60 capsules,do you have eye health 60 capsules,Eye Health++ (60 Capsules),customer_safe_intent,
