intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket
597,How much BV for Aloevera with Guava Juice (1L)?,The Business Volume (BV) is 285.0.,pricing,bv,Aloevera with Guava Juice (1L),DJP1073,DJ-HEA-0074,high,Price List,,how much bv aloevera guava juice 1l,how much bv aloevera guava juice 1l,Aloevera with Guava Juice (1L),internal_distributor_intent
625,How much is in one pack of Gas-O-Free (500ml)?,The pack size is 500ml.,informational,pack_size,Gas-O-Free (500ml),DJP1082,DJ-HEA-0083,high,Products Master,,how much one pack gas o free 500ml,how much one pack gas o free 500ml,Gas-O-Free (500ml),internal_distributor_intent
626,How much BV for Haldi Chandan Facewash (60ml)?,The Business Volume (BV) is 18.0.,pricing,bv,Haldi Chandan Facewash (60ml),DJP1056,DJ-PER-0057,high,Price List,,how much bv haldi chandan facewash 60ml,how much bv haldi chandan facewash 60ml,Haldi Chandan Facewash (60ml),internal_distributor_intent
628,How much is in one pack of STANDARD PACKAGE?,The pack size is nan.,informational,pack_size,STANDARD PACKAGE,DJP1164,DJ-COM-0165,high,Products Master,,how much one pack standard package,how much one pack standard package,STANDARD PACKAGE,internal_distributor_intent
630,How much BV for Prosperous+ Tablets?,The Business Volume (BV) is 310.0.,pricing,bv,Prosperous+ Tablets,DJP1129,DJ-AGR-0130,high,Price List,,how much bv prosperous tablets,how much bv prosperous tablets,Prosperous+ Tablets,internal_distributor_intent
633,DP of DJP1023,The Distributor Price (DP) is ₹135.0.,pricing,dp,Veg Biryani with Shahi Gravy,DJP1023,DJ-FOO-0024,high,Price List,,dp djp1023,dp djp1023,Veg Biryani with Shahi Gravy,internal_distributor_intent
643,How much is in one pack of Dayjoy Bike Sticker?,The pack size is nan.,informational,pack_size,Dayjoy Bike Sticker,DJP1150,DJ-PRO-0151,high,Products Master,,how much one pack dayjoy bike sticker,how much one pack dayjoy bike sticker,Dayjoy Bike Sticker,internal_distributor_intent
661,How much BV for Haldi Powder (200g)?,The Business Volume (BV) is 12.0.,pricing,bv,Haldi Powder (200g),DJP1010,DJ-FOO-0011,high,Price List,,how much bv haldi powder 200g,how much bv haldi powder 200g,Haldi Powder (200g),internal_distributor_intent
668,How much is in one pack of Milk & Keratin Extracts Shampoo (100ml)?,The pack size is 100ml.,informational,pack_size,Milk & Keratin Extracts Shampoo (100ml),DJP1037,DJ-PER-0038,high,Products Master,,how much one pack milk keratin extracts shampoo 100ml,how much one pack milk keratin extracts shampoo 100ml,Milk & Keratin Extracts Shampoo (100ml),internal_distributor_intent
684,How much is in one pack of New Dayjoy Product Brochure (Hindi)?,The pack size is Hindi.,informational,pack_size,New Dayjoy Product Brochure (Hindi),DJP1154,DJ-PRO-0155,high,Products Master,,how much one pack new dayjoy brochure hindi,how much one pack new dayjoy brochure hindi,New Dayjoy Product Brochure (Hindi),internal_distributor_intent
685,How much is in one pack of Amara Beauty Kajal?,The pack size is nan.,informational,pack_size,Amara Beauty Kajal,DJP1063,DJ-COL-0064,high,Products Master,,how much one pack amara beauty kajal,how much one pack amara beauty kajal,Amara Beauty Kajal,internal_distributor_intent
692,How much is in one pack of HB+ (200ml)?,The pack size is 200ml.,informational,pack_size,HB+ (200ml),DJP1088,DJ-HEA-0089,high,Products Master,,how much one pack hb 200ml,how much one pack hb 200ml,HB+ (200ml),internal_distributor_intent
701,How much BV for Designer Mask (Pack of 5)?,The Business Volume (BV) is 55.0.,pricing,bv,Designer Mask (Pack of 5),DJP1120,DJ-CLO-0121,high,Price List,,how much bv designer mask pack 5,how much bv designer mask pack 5,Designer Mask (Pack of 5),internal_distributor_intent
704,How much BV for Mirchi Powder (25g)?,The Business Volume (BV) is 1.0.,pricing,bv,Mirchi Powder (25g),DJP1016,DJ-FOO-0017,high,Price List,,how much bv mirchi powder 25g,how much bv mirchi powder 25g,Mirchi Powder (25g),internal_distributor_intent
706,How much is in one pack of Aqua Energiser (Pack of 3)?,The pack size is Pack of 3.,informational,pack_size,Aqua Energiser (Pack of 3),DJP1138,DJ-AQU-0139,high,Products Master,,how much one pack aqua energiser pack 3,how much one pack aqua energiser pack 3,Aqua Energiser (Pack of 3),internal_distributor_intent
709,DP of DJP1108,The Distributor Price (DP) is ₹799.0.,pricing,dp,L-Arginine++ - Energy Drink (100g),DJP1108,DJ-HEA-0109,high,Price List,,dp djp1108,dp djp1108,L-Arginine++ - Energy Drink (100g),internal_distributor_intent
722,DP of DJP1155,The Distributor Price (DP) is ₹250.0.,pricing,dp,New Dayjoy Product Brochure (English),DJP1155,DJ-PRO-0156,high,Price List,,dp djp1155,dp djp1155,New Dayjoy Product Brochure (English),internal_distributor_intent
736,How much BV for Arogya Churn (100g)?,The Business Volume (BV) is 40.0.,pricing,bv,Arogya Churn (100g),DJP1078,DJ-HEA-0079,high,Price List,,how much bv arogya churn 100g,how much bv arogya churn 100g,Arogya Churn (100g),internal_distributor_intent
752,DP of DJP1102,The Distributor Price (DP) is ₹1660.0.,pricing,dp,Super Rich Berry Juice (1 Ltr.),DJP1102,DJ-HEA-0103,high,Price List,,dp djp1102,dp djp1102,Super Rich Berry Juice (1 Ltr.),internal_distributor_intent
753,DP of DJP1101,The Distributor Price (DP) is ₹99.0.,pricing,dp,Quick 6 Pain Relief Gel (30g),DJP1101,DJ-HEA-0102,high,Price List,,dp djp1101,dp djp1101,Quick 6 Pain Relief Gel (30g),internal_distributor_intent
755,How much BV for Giloe Extract (60 Veg Capsules)?,The Business Volume (BV) is 100.0.,pricing,bv,Giloe Extract (60 Veg Capsules),DJP1085,DJ-HEA-0086,high,Price List,,how much bv giloe extract 60 veg capsules,how much bv giloe extract 60 veg capsules,Giloe Extract (60 Veg Capsules),internal_distributor_intent
766,How much is in one pack of Amla Reetha Sikakai Shampoo (100ml)?,The pack size is 100ml.,informational,pack_size,Amla Reetha Sikakai Shampoo (100ml),DJP1055,DJ-PER-0056,high,Products Master,,how much one pack amla reetha sikakai shampoo 100ml,how much one pack amla reetha sikakai shampoo 100ml,Amla Reetha Sikakai Shampoo (100ml),internal_distributor_intent
778,How much is in one pack of Adicardial Syrup (500ml)?,The pack size is 500ml.,informational,pack_size,Adicardial Syrup (500ml),DJP1067,DJ-HEA-0068,high,Products Master,,how much one pack adicardial syrup 500ml,how much one pack adicardial syrup 500ml,Adicardial Syrup (500ml),internal_distributor_intent
779,How much BV for Sandalwood & Shahi Gulab Body Lotion (150ml)?,The Business Volume (BV) is 56.0.,pricing,bv,Sandalwood & Shahi Gulab Body Lotion (150ml),DJP1042,DJ-PER-0043,high,Price List,,how much bv sandalwood shahi gulab body lotion 150ml,how much bv sandalwood shahi gulab body lotion 150ml,Sandalwood & Shahi Gulab Body Lotion (150ml),internal_distributor_intent
790,How much is in one pack of JoyCalcium (2 Litre)?,The pack size is 2 Litre.,informational,pack_size,JoyCalcium (2 Litre),DJP1135,DJ-AGR-0136,high,Products Master,,how much one pack joycalcium 2 litre,how much one pack joycalcium 2 litre,JoyCalcium (2 Litre),internal_distributor_intent
800,How much BV for Poha with Bhujia?,The Business Volume (BV) is 9.0.,pricing,bv,Poha with Bhujia,DJP1024,DJ-FOO-0025,high,Price List,,how much bv poha bhujia,how much bv poha bhujia,Poha with Bhujia,internal_distributor_intent
809,How much is in one pack of Haldi Powder (200g)?,The pack size is 200g.,informational,pack_size,Haldi Powder (200g),DJP1010,DJ-FOO-0011,high,Products Master,,how much one pack haldi powder 200g,how much one pack haldi powder 200g,Haldi Powder (200g),internal_distributor_intent
812,How much is in one pack of Quick 6 Pain Relief Gel (30g)?,The pack size is 30g.,informational,pack_size,Quick 6 Pain Relief Gel (30g),DJP1101,DJ-HEA-0102,high,Products Master,,how much one pack quick 6 pain relief gel 30g,how much one pack quick 6 pain relief gel 30g,Quick 6 Pain Relief Gel (30g),internal_distributor_intent
814,How much is in one pack of Aloevera Gel (100g)?,The pack size is 100g.,informational,pack_size,Aloevera Gel (100g),DJP1028,DJ-PER-0029,high,Products Master,,how much one pack aloevera gel 100g,how much one pack aloevera gel 100g,Aloevera Gel (100g),internal_distributor_intent
823,DP of DJP1062,The Distributor Price (DP) is ₹299.0.,pricing,dp,AcneX Anti-Acne Foaming Cleanser (100ml),DJP1062,DJ-SKI-0063,high,Price List,,dp djp1062,dp djp1062,AcneX Anti-Acne Foaming Cleanser (100ml),internal_distributor_intent
839,DP of DJP1153,The Distributor Price (DP) is ₹1100.0.,pricing,dp,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Price List,,dp djp1153,dp djp1153,Dayjoy Backpack Bag,internal_distributor_intent
843,DP of DJP1130,The Distributor Price (DP) is ₹949.0.,pricing,dp,Joy-O-Zyme (500ml),DJP1130,DJ-AGR-0131,high,Price List,,dp djp1130,dp djp1130,Joy-O-Zyme (500ml),internal_distributor_intent
844,DP of DJP1001,The Distributor Price (DP) is ₹56.0.,pricing,dp,Chaat Masala (100g),DJP1001,DJ-FOO-0002,high,Price List,,dp djp1001,dp djp1001,Chaat Masala (100g),internal_distributor_intent
846,DP of DJP1115,The Distributor Price (DP) is ₹149.0.,pricing,dp,Dishwash Liquid Gel (500ml),DJP1115,DJ-HOM-0116,high,Price List,,dp djp1115,dp djp1115,Dishwash Liquid Gel (500ml),internal_distributor_intent
847,How much is in one pack of Sunscreen SPF 50+ (50gm)?,The pack size is 50gm.,informational,pack_size,Sunscreen SPF 50+ (50gm),DJP1059,DJ-SKI-0060,high,Products Master,,how much one pack sunscreen spf 50 50gm,how much one pack sunscreen spf 50 50gm,Sunscreen SPF 50+ (50gm),internal_distributor_intent
869,DP of DJP1070,The Distributor Price (DP) is ₹1725.0.,pricing,dp,Adilipo (120 Tab),DJP1070,DJ-HEA-0071,high,Price List,,dp djp1070,dp djp1070,Adilipo (120 Tab),internal_distributor_intent
871,DP of DJP1109,The Distributor Price (DP) is ₹1799.0.,pricing,dp,Ample Meal - Meal Replacement Nutritional Shake (500g),DJP1109,DJ-HEA-0110,high,Price List,,dp djp1109,dp djp1109,Ample Meal - Meal Replacement Nutritional Shake (500g),internal_distributor_intent
874,How much is in one pack of Veg Biryani with Shahi Gravy?,The pack size is nan.,informational,pack_size,Veg Biryani with Shahi Gravy,DJP1023,DJ-FOO-0024,high,Products Master,,how much one pack veg biryani shahi gravy,how much one pack veg biryani shahi gravy,Veg Biryani with Shahi Gravy,internal_distributor_intent
877,How much is in one pack of Prosperous+ (1 L)?,The pack size is 1 L.,informational,pack_size,Prosperous+ (1 L),DJP1128,DJ-AGR-0129,high,Products Master,,how much one pack prosperous 1 l,how much one pack prosperous 1 l,Prosperous+ (1 L),internal_distributor_intent
880,DP of DJP1134,The Distributor Price (DP) is ₹949.0.,pricing,dp,JoyProtect (500ml),DJP1134,DJ-AGR-0135,high,Price List,,dp djp1134,dp djp1134,JoyProtect (500ml),internal_distributor_intent
885,How much is in one pack of Bio-Germanium & Magnetic Mattress?,The pack size is nan.,informational,pack_size,Bio-Germanium & Magnetic Mattress,DJP1136,DJ-GER-0137,high,Products Master,,how much one pack bio germanium magnetic mattress,how much one pack bio germanium magnetic mattress,Bio-Germanium & Magnetic Mattress,internal_distributor_intent
888,DP of DJP1090,The Distributor Price (DP) is ₹825.0.,pricing,dp,Hi-Energy (60 Tab),DJP1090,DJ-HEA-0091,high,Price List,,dp djp1090,dp djp1090,Hi-Energy (60 Tab),internal_distributor_intent
892,How much BV for Regain Aloevera Shampoo (300ml)?,The Business Volume (BV) is 76.0.,pricing,bv,Regain Aloevera Shampoo (300ml),DJP1041,DJ-PER-0042,high,Price List,,how much bv regain aloevera shampoo 300ml,how much bv regain aloevera shampoo 300ml,Regain Aloevera Shampoo (300ml),internal_distributor_intent
894,DP of DJP1069,The Distributor Price (DP) is ₹1875.0.,pricing,dp,Adila Forte (60 Tab),DJP1069,DJ-HEA-0070,high,Price List,,dp djp1069,dp djp1069,Adila Forte (60 Tab),internal_distributor_intent
909,How much is in one pack of Nano Tech-52 (500ml)?,The pack size is 500ml.,informational,pack_size,Nano Tech-52 (500ml),DJP1127,DJ-AGR-0128,high,Products Master,,how much one pack nano tech 52 500ml,how much one pack nano tech 52 500ml,Nano Tech-52 (500ml),internal_distributor_intent
914,How much is in one pack of Nonima (500ml)?,The pack size is 500ml.,informational,pack_size,Nonima (500ml),DJP1095,DJ-HEA-0096,high,Products Master,,how much one pack nonima 500ml,how much one pack nonima 500ml,Nonima (500ml),internal_distributor_intent
918,DP of DJP1093,The Distributor Price (DP) is ₹865.0.,pricing,dp,Liv-Ease (500ml),DJP1093,DJ-HEA-0094,high,Price List,,dp djp1093,dp djp1093,Liv-Ease (500ml),internal_distributor_intent
921,How much BV for Adilipo (120 Tab)?,The Business Volume (BV) is 840.0.,pricing,bv,Adilipo (120 Tab),DJP1070,DJ-HEA-0071,high,Price List,,how much bv adilipo 120 tab,how much bv adilipo 120 tab,Adilipo (120 Tab),internal_distributor_intent
924,How much BV for Seabuckthron Massage Gel (30g)?,The Business Volume (BV) is 52.0.,pricing,bv,Seabuckthron Massage Gel (30g),DJP1048,DJ-PER-0049,high,Price List,,how much bv seabuckthron massage gel 30g,how much bv seabuckthron massage gel 30g,Seabuckthron Massage Gel (30g),internal_distributor_intent
943,How much BV for New Dayjoy Product Brochure (English)?,The Business Volume (BV) is 0.0.,pricing,bv,New Dayjoy Product Brochure (English),DJP1155,DJ-PRO-0156,high,Price List,,how much bv new dayjoy brochure english,how much bv new dayjoy brochure english,New Dayjoy Product Brochure (English),internal_distributor_intent
944,How much is in one pack of Happy Soil - Humic (500ml)?,The pack size is 500ml.,informational,pack_size,Happy Soil - Humic (500ml),DJP1123,DJ-AGR-0124,high,Products Master,,how much one pack happy soil humic 500ml,how much one pack happy soil humic 500ml,Happy Soil - Humic (500ml),internal_distributor_intent
965,How much is in one pack of Premium Suit Length (Black)?,The pack size is Black.,informational,pack_size,Premium Suit Length (Black),DJP1119,DJ-CLO-0120,high,Products Master,,how much one pack premium suit length black,how much one pack premium suit length black,Premium Suit Length (Black),internal_distributor_intent
973,How much is in one pack of Rai (250g)?,The pack size is 250g.,informational,pack_size,Rai (250g),DJP1019,DJ-FOO-0020,high,Products Master,,how much one pack rai 250g,how much one pack rai 250g,Rai (250g),internal_distributor_intent
974,How much is in one pack of Deep Cleansing Face Wash (100ml)?,The pack size is 100ml.,informational,pack_size,Deep Cleansing Face Wash (100ml),DJP1052,DJ-PER-0053,high,Products Master,,how much one pack deep cleansing face wash 100ml,how much one pack deep cleansing face wash 100ml,Deep Cleansing Face Wash (100ml),internal_distributor_intent
986,How much is in one pack of Adila Forte (30 Tab)?,The pack size is 30 Tab.,informational,pack_size,Adila Forte (30 Tab),DJP1068,DJ-HEA-0069,high,Products Master,,how much one pack adila forte 30 tab,how much one pack adila forte 30 tab,Adila Forte (30 Tab),internal_distributor_intent
988,How much is in one pack of N-astheal (120 Tab)?,The pack size is 120 Tab.,informational,pack_size,N-astheal (120 Tab),DJP1096,DJ-HEA-0097,high,Products Master,,how much one pack n astheal 120 tab,how much one pack n astheal 120 tab,N-astheal (120 Tab),internal_distributor_intent
989,DP of DJP1117,The Distributor Price (DP) is ₹370.0.,pricing,dp,Liquid Detergent (1Ltr.),DJP1117,DJ-HOM-0118,high,Price List,,dp djp1117,dp djp1117,Liquid Detergent (1Ltr.),internal_distributor_intent
990,DP of DJP1021,The Distributor Price (DP) is ₹235.0.,pricing,dp,New Total Joy Rice Bran Oil (1 Litre),DJP1021,DJ-FOO-0022,high,Price List,,dp djp1021,dp djp1021,New Total Joy Rice Bran Oil (1 Litre),internal_distributor_intent
998,How much is in one pack of Amla Extract (60 Veg Capsules)?,The pack size is 60 Veg Capsules.,informational,pack_size,Amla Extract (60 Veg Capsules),DJP1076,DJ-HEA-0077,high,Products Master,,how much one pack amla extract 60 veg capsules,how much one pack amla extract 60 veg capsules,Amla Extract (60 Veg Capsules),internal_distributor_intent
1010,How much BV for BR Rich Oil (200ml)?,The Business Volume (BV) is 44.0.,pricing,bv,BR Rich Oil (200ml),DJP1029,DJ-PER-0030,high,Price List,,how much bv br rich oil 200ml,how much bv br rich oil 200ml,BR Rich Oil (200ml),internal_distributor_intent
1018,How much BV for New Dayjoy Product Brochure (Telugu)?,The Business Volume (BV) is 0.0.,pricing,bv,New Dayjoy Product Brochure (Telugu),DJP1156,DJ-PRO-0157,high,Price List,,how much bv new dayjoy brochure telugu,how much bv new dayjoy brochure telugu,New Dayjoy Product Brochure (Telugu),internal_distributor_intent
1021,How much is in one pack of Adila Forte (60 Tab)?,The pack size is 60 Tab.,informational,pack_size,Adila Forte (60 Tab),DJP1069,DJ-HEA-0070,high,Products Master,,how much one pack adila forte 60 tab,how much one pack adila forte 60 tab,Adila Forte (60 Tab),internal_distributor_intent
1023,DP of DJP1125,The Distributor Price (DP) is ₹949.0.,pricing,dp,Nano Tech-46 (500ml),DJP1125,DJ-AGR-0126,high,Price List,,dp djp1125,dp djp1125,Nano Tech-46 (500ml),internal_distributor_intent
1025,How much BV for All in 1 Surface Cleaner (500ml)?,The Business Volume (BV) is 27.0.,pricing,bv,All in 1 Surface Cleaner (500ml),DJP1118,DJ-HOM-0119,high,Price List,,how much bv all 1 surface cleaner 500ml,how much bv all 1 surface cleaner 500ml,All in 1 Surface Cleaner (500ml),internal_distributor_intent
1027,How much is in one pack of Multivitamins Tablets?,The pack size is nan.,informational,pack_size,Multivitamins Tablets,DJP1094,DJ-HEA-0095,high,Products Master,,how much one pack multivitamins tablets,how much one pack multivitamins tablets,Multivitamins Tablets,internal_distributor_intent
1036,How much BV for Hydra Max Moisturizer (50gm)?,The Business Volume (BV) is 110.0.,pricing,bv,Hydra Max Moisturizer (50gm),DJP1060,DJ-SKI-0061,high,Price List,,how much bv hydra max moisturizer 50gm,how much bv hydra max moisturizer 50gm,Hydra Max Moisturizer (50gm),internal_distributor_intent
1040,How much is in one pack of Regain Aloevera Shampoo (300ml)?,The pack size is 300ml.,informational,pack_size,Regain Aloevera Shampoo (300ml),DJP1041,DJ-PER-0042,high,Products Master,,how much one pack regain aloevera shampoo 300ml,how much one pack regain aloevera shampoo 300ml,Regain Aloevera Shampoo (300ml),internal_distributor_intent
1042,How much BV for Organic Jeera (250g)?,The Business Volume (BV) is 33.0.,pricing,bv,Organic Jeera (250g),DJP1014,DJ-FOO-0015,high,Price List,,how much bv organic jeera 250g,how much bv organic jeera 250g,Organic Jeera (250g),internal_distributor_intent
1057,How much BV for Himalayan Pink Salt Sprinkler (200g)?,The Business Volume (BV) is 13.0.,pricing,bv,Himalayan Pink Salt Sprinkler (200g),DJP1012,DJ-FOO-0013,high,Price List,,how much bv himalayan pink salt sprinkler 200g,how much bv himalayan pink salt sprinkler 200g,Himalayan Pink Salt Sprinkler (200g),internal_distributor_intent
1062,How much is in one pack of Omega 3-6-9?,The pack size is nan.,informational,pack_size,Omega 3-6-9,DJP1100,DJ-HEA-0101,high,Products Master,,how much one pack omega 3 6 9,how much one pack omega 3 6 9,Omega 3-6-9,internal_distributor_intent
1071,How much BV for Seabuckthron Face Pack (30g)?,The Business Volume (BV) is 52.0.,pricing,bv,Seabuckthron Face Pack (30g),DJP1050,DJ-PER-0051,high,Price List,,how much bv seabuckthron face pack 30g,how much bv seabuckthron face pack 30g,Seabuckthron Face Pack (30g),internal_distributor_intent
1073,How much is in one pack of Adiliv (60 Tab)?,The pack size is 60 Tab.,informational,pack_size,Adiliv (60 Tab),DJP1072,DJ-HEA-0073,high,Products Master,,how much one pack adiliv 60 tab,how much one pack adiliv 60 tab,Adiliv (60 Tab),internal_distributor_intent
1075,How much is in one pack of Garam Masala (100g)?,The pack size is 100g.,informational,pack_size,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Products Master,,how much one pack garam masala 100g,how much one pack garam masala 100g,Garam Masala (100g),internal_distributor_intent
1081,DP of DJP1096,The Distributor Price (DP) is ₹1725.0.,pricing,dp,N-astheal (120 Tab),DJP1096,DJ-HEA-0097,high,Price List,,dp djp1096,dp djp1096,N-astheal (120 Tab),internal_distributor_intent
1083,How much is in one pack of Ashvagandha Extract (60 Veg Capsules)?,The pack size is 60 Veg Capsules.,informational,pack_size,Ashvagandha Extract (60 Veg Capsules),DJP1075,DJ-HEA-0076,high,Products Master,,how much one pack ashvagandha extract 60 veg capsules,how much one pack ashvagandha extract 60 veg capsules,Ashvagandha Extract (60 Veg Capsules),internal_distributor_intent
1094,How much is in one pack of Dayjoy Business Planner Book (Hindi)?,The pack size is Hindi.,informational,pack_size,Dayjoy Business Planner Book (Hindi),DJP1162,DJ-PRO-0163,high,Products Master,,how much one pack dayjoy business planner book hindi,how much one pack dayjoy business planner book hindi,Dayjoy Business Planner Book (Hindi),internal_distributor_intent
1112,How much is in one pack of Shilajit Gummies (60 Gummies)?,The pack size is 60 Gummies.,informational,pack_size,Shilajit Gummies (60 Gummies),DJP1112,DJ-HEA-0113,high,Products Master,,how much one pack shilajit gummies 60 gummies,how much one pack shilajit gummies 60 gummies,Shilajit Gummies (60 Gummies),internal_distributor_intent
1116,DP of DJP1002,The Distributor Price (DP) is ₹90.0.,pricing,dp,Chicken Masala (100g),DJP1002,DJ-FOO-0003,high,Price List,,dp djp1002,dp djp1002,Chicken Masala (100g),internal_distributor_intent
1118,How much BV for HerboSmile Herbal Toothpaste (100g)?,The Business Volume (BV) is 20.0.,pricing,bv,HerboSmile Herbal Toothpaste (100g),DJP1033,DJ-PER-0034,high,Price List,,how much bv herbosmile herbal toothpaste 100g,how much bv herbosmile herbal toothpaste 100g,HerboSmile Herbal Toothpaste (100g),internal_distributor_intent
1129,How much BV for Dayjoy Necktie?,The Business Volume (BV) is 50.0.,pricing,bv,Dayjoy Necktie,DJP1121,DJ-CLO-0122,high,Price List,,how much bv dayjoy necktie,how much bv dayjoy necktie,Dayjoy Necktie,internal_distributor_intent
1151,DP of DJP1106,The Distributor Price (DP) is ₹178.0.,pricing,dp,Premium Tulsi Max (30ml),DJP1106,DJ-HEA-0107,high,Price List,,dp djp1106,dp djp1106,Premium Tulsi Max (30ml),internal_distributor_intent
1159,How much is in one pack of Apple Cider Vinegar (3X20 Tablets)?,The pack size is 3X20 Tablets.,informational,pack_size,Apple Cider Vinegar (3X20 Tablets),DJP1113,DJ-HEA-0114,high,Products Master,,how much one pack apple cider vinegar 3x20 tablets,how much one pack apple cider vinegar 3x20 tablets,Apple Cider Vinegar (3X20 Tablets),internal_distributor_intent
1162,How much BV for Perfect-Ion Leaflets (Set of 50)?,The Business Volume (BV) is 0.0.,pricing,bv,Perfect-Ion Leaflets (Set of 50),DJP1143,DJ-AQU-0144,high,Price List,,how much bv perfect ion leaflets set 50,how much bv perfect ion leaflets set 50,Perfect-Ion Leaflets (Set of 50),internal_distributor_intent
1168,How much BV for Seabuckthron Cleanser (30g)?,The Business Volume (BV) is 52.0.,pricing,bv,Seabuckthron Cleanser (30g),DJP1046,DJ-PER-0047,high,Price List,,how much bv seabuckthron cleanser 30g,how much bv seabuckthron cleanser 30g,Seabuckthron Cleanser (30g),internal_distributor_intent
1189,DP of DJP1068,The Distributor Price (DP) is ₹1030.0.,pricing,dp,Adila Forte (30 Tab),DJP1068,DJ-HEA-0069,high,Price List,,dp djp1068,dp djp1068,Adila Forte (30 Tab),internal_distributor_intent
1200,How much is in one pack of Di-beat (60 Tab)?,The pack size is 60 Tab.,informational,pack_size,Di-beat (60 Tab),DJP1079,DJ-HEA-0080,high,Products Master,,how much one pack di beat 60 tab,how much one pack di beat 60 tab,Di-beat (60 Tab),internal_distributor_intent
1206,DP of DJP1075,The Distributor Price (DP) is ₹299.0.,pricing,dp,Ashvagandha Extract (60 Veg Capsules),DJP1075,DJ-HEA-0076,high,Price List,,dp djp1075,dp djp1075,Ashvagandha Extract (60 Veg Capsules),internal_distributor_intent
1212,How much is in one pack of English One-Page Compensation Plan (Set of 50 Leaflets)?,The pack size is Set of 50 Leaflets.,informational,pack_size,English One-Page Compensation Plan (Set of 50 Leaflets),DJP1161,DJ-PRO-0162,high,Products Master,,how much one pack english one page compensation plan set 50 leaflets,how much one pack english one page compensation plan set 50 leaflets,English One-Page Compensation Plan (Set of 50 Leaflets),internal_distributor_intent
1216,How much BV for Orthofix Oil (100ml)?,The Business Volume (BV) is 112.0.,pricing,bv,Orthofix Oil (100ml),DJP1099,DJ-HEA-0100,high,Price List,,how much bv orthofix oil 100ml,how much bv orthofix oil 100ml,Orthofix Oil (100ml),internal_distributor_intent
1222,How much BV for Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml)?,The Business Volume (BV) is 1320.0.,pricing,bv,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),DJP1080,DJ-HEA-0081,high,Price List,,how much bv golden elixir nano curcumin drops pack 2 bottles each 25ml,how much bv golden elixir nano curcumin drops pack 2 bottles each 25ml,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),internal_distributor_intent
1231,How much BV for Vital Protein Powder (300gm)?,The Business Volume (BV) is 430.0.,pricing,bv,Vital Protein Powder (300gm),DJP1107,DJ-HEA-0108,high,Price List,,how much bv vital protein powder 300gm,how much bv vital protein powder 300gm,Vital Protein Powder (300gm),internal_distributor_intent
1234,How much is in one pack of Mirchi Powder (500g)?,The pack size is 500g.,informational,pack_size,Mirchi Powder (500g),DJP1018,DJ-FOO-0019,high,Products Master,,how much one pack mirchi powder 500g,how much one pack mirchi powder 500g,Mirchi Powder (500g),internal_distributor_intent
1243,How much BV for Bio-Germanium & Magnetic Mattress?,The Business Volume (BV) is 4250.0.,pricing,bv,Bio-Germanium & Magnetic Mattress,DJP1136,DJ-GER-0137,high,Price List,,how much bv bio germanium magnetic mattress,how much bv bio germanium magnetic mattress,Bio-Germanium & Magnetic Mattress,internal_distributor_intent
1258,How much BV for PREMIUM PACKAGE?,The Business Volume (BV) is 5000.0.,pricing,bv,PREMIUM PACKAGE,DJP1165,DJ-COM-0166,high,Price List,,how much bv premium package,how much bv premium package,PREMIUM PACKAGE,internal_distributor_intent
1273,How much is in one pack of Vital Protein Powder (300gm)?,The pack size is 300gm.,informational,pack_size,Vital Protein Powder (300gm),DJP1107,DJ-HEA-0108,high,Products Master,,how much one pack vital protein powder 300gm,how much one pack vital protein powder 300gm,Vital Protein Powder (300gm),internal_distributor_intent
1291,DP of DJP1163,The Distributor Price (DP) is ₹250.0.,pricing,dp,Dayjoy Business Planner Book (English),DJP1163,DJ-PRO-0164,high,Price List,,dp djp1163,dp djp1163,Dayjoy Business Planner Book (English),internal_distributor_intent
1292,How much BV for GoPiles (60 Tab)?,The Business Volume (BV) is 375.0.,pricing,bv,GoPiles (60 Tab),DJP1083,DJ-HEA-0084,high,Price List,,how much bv gopiles 60 tab,how much bv gopiles 60 tab,GoPiles (60 Tab),internal_distributor_intent
1303,How much is in one pack of Nano Tech-46 (500ml)?,The pack size is 500ml.,informational,pack_size,Nano Tech-46 (500ml),DJP1125,DJ-AGR-0126,high,Products Master,,how much one pack nano tech 46 500ml,how much one pack nano tech 46 500ml,Nano Tech-46 (500ml),internal_distributor_intent
1314,How much BV for Adiliv (60 Tab)?,The Business Volume (BV) is 375.0.,pricing,bv,Adiliv (60 Tab),DJP1072,DJ-HEA-0073,high,Price List,,how much bv adiliv 60 tab,how much bv adiliv 60 tab,Adiliv (60 Tab),internal_distributor_intent
1317,DP of DJP1050,The Distributor Price (DP) is ₹145.0.,pricing,dp,Seabuckthron Face Pack (30g),DJP1050,DJ-PER-0051,high,Price List,,dp djp1050,dp djp1050,Seabuckthron Face Pack (30g),internal_distributor_intent
