source_product_no,product_name,category,mrp_inr,dp_inr,bv,pv,pack_size,product_id,sku,ingredients,benefits,usage,dosage,warnings,certifications,product_image_url,source_file,source_page,effective_date,confidence,data_status
124,Happy Soil - Humic 500ml,Agriculture Veterinary,849,575,200,200.0,500ml,DJP1123,DJ-AGR-0124,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
125,Nano Tech-19 500ml,Agriculture Veterinary,1499,949,425,425.0,500ml,DJP1124,DJ-AGR-0125,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
126,Nano Tech-46 500ml,Agriculture Veterinary,1499,949,425,425.0,500ml,DJP1125,DJ-AGR-0126,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
127,Nano Tech-50 500ml,Agriculture Veterinary,1499,949,425,425.0,500ml,DJP1126,DJ-AGR-0127,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
128,Nano Tech-52 500ml,Agriculture Veterinary,1499,949,425,425.0,500ml,DJP1127,DJ-AGR-0128,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
129,Prosperous 1 L,Agriculture Veterinary,1499,999,340,340.0,1 L,DJP1128,DJ-AGR-0129,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
130,Prosperous Tablets,Agriculture Veterinary,1049,599,310,310.0,,DJP1129,DJ-AGR-0130,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
131,Joy-O-Zyme 500ml,Agriculture Veterinary,1499,949,335,335.0,500ml,DJP1130,DJ-AGR-0131,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
132,JoySpread 80 Gold 250ml,Agriculture Veterinary,499,329,75,75.0,80 G,DJP1131,DJ-AGR-0132,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
133,JoySpread 80 Gold 100ml,Agriculture Veterinary,249,155,37,37.0,80 G,DJP1132,DJ-AGR-0133,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
134,JoyGrow 2X Granules 2kg,Agriculture Veterinary,999,499,180,180.0,,DJP1133,DJ-AGR-0134,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
135,JoyProtect 500ml,Agriculture Veterinary,1499,949,390,390.0,500ml,DJP1134,DJ-AGR-0135,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
136,JoyCalcium 2 Litre,Agriculture Veterinary,1049,699,250,250.0,2 L,DJP1135,DJ-AGR-0136,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
137,Bio-Germanium Magnetic Mattress,Germanium Magnetic,15000,9999,4250,4250.0,,DJP1136,DJ-GER-0137,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
138,Bio-Germanium Magnetic Mattress Pack of 2,Germanium Magnetic,30000,14999,5000,5000.0,Pack of 2,DJP1137,DJ-GER-0138,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
139,Aqua Energiser Pack of 3,Aqua Essentials,9000,5499,2500,2500.0,Pack of 3,DJP1138,DJ-AQU-0139,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
141,Aqua Energiser Single,Aqua Essentials,3499,2000,1100,1100.0,,DJP1139,DJ-AQU-0140,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
142,New Perfect-Ion,Aqua Essentials,23999,14999,5000,5000.0,,DJP1140,DJ-AQU-0141,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
143,Perfect-Ion Testing Solutions,Aqua Essentials,1399,699,280,280.0,,DJP1141,DJ-AQU-0142,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
144,Perfect-Ion Leaflets Set of 25,Aqua Essentials,36,36,0.0,0.0,,DJP1142,DJ-AQU-0143,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
145,Perfect-Ion Leaflets Set of 50,Aqua Essentials,66,66,0.0,0.0,,DJP1143,DJ-AQU-0144,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
146,N-SF 9.5 Mineraliser,Aqua Essentials,1999,1499,450,450.0,,DJP1144,DJ-AQU-0145,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
147,N-SF 10.5 Mineraliser,Aqua Essentials,1999,1499,450,450.0,,DJP1145,DJ-AQU-0146,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
148,Dayjoy Diary,Promotion Tools,299,275,0.0,0.0,,DJP1146,DJ-PRO-0147,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
149,Dayjoy Leather Bag,Promotion Tools,2999,1599,550,550.0,,DJP1147,DJ-PRO-0148,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
150,Dayjoy Cap,Promotion Tools,95,95,0.0,0.0,,DJP1148,DJ-PRO-0149,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
151,Dayjoy Mug,Promotion Tools,125,125,0.0,0.0,,DJP1149,DJ-PRO-0150,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
152,Dayjoy Bike Sticker,Promotion Tools,20,20,0.0,0.0,,DJP1150,DJ-PRO-0151,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
153,Dayjoy Car Sticker,Promotion Tools,40,40,0.0,0.0,,DJP1151,DJ-PRO-0152,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
154,Dayjoy Pin,Promotion Tools,150,150,0.0,0.0,,DJP1152,DJ-PRO-0153,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
155,Dayjoy Backpack Bag,Promotion Tools,1100,1100,0.0,0.0,,DJP1153,DJ-PRO-0154,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
156,New Dayjoy Product Brochure Hindi,Promotion Tools,250,250,0.0,0.0,,DJP1154,DJ-PRO-0155,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
157,New Dayjoy Product Brochure English,Promotion Tools,250,250,0.0,0.0,,DJP1155,DJ-PRO-0156,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
158,New Dayjoy Product Brochure Telugu,Promotion Tools,250,250,0.0,0.0,,DJP1156,DJ-PRO-0157,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
159,Product Leaflets Set of 48 Leaflets,Promotion Tools,130,130,0.0,0.0,48 L,DJP1157,DJ-PRO-0158,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
160,Hindi One-Page Compensation Plan Set of 25 Leaflets,Promotion Tools,75,75,0.0,0.0,25 L,DJP1158,DJ-PRO-0159,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
161,English One-Page Compensation Plan Set of 25 Leaflets,Promotion Tools,75,75,0.0,0.0,25 L,DJP1159,DJ-PRO-0160,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
162,Hindi One-Page Compensation Plan Set of 50 Leaflets,Promotion Tools,135,135,0.0,0.0,50 L,DJP1160,DJ-PRO-0161,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
163,English One-Page Compensation Plan Set of 50 Leaflets,Promotion Tools,135,135,0.0,0.0,50 L,DJP1161,DJ-PRO-0162,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
164,Dayjoy Business Planner Book Hindi,Promotion Tools,250,250,0.0,0.0,,DJP1162,DJ-PRO-0163,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
165,Dayjoy Business Planner Book English,Promotion Tools,250,250,0.0,0.0,,DJP1163,DJ-PRO-0164,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
166,STANDARD PACKAGE,Combo Packages,10997,5499,2500,2500.0,,DJP1164,DJ-COM-0165,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
167,PREMIUM PACKAGE,Combo Packages,17592,10499,5000,5000.0,,DJP1165,DJ-COM-0166,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
168,ELITE PACKAGE,Combo Packages,28286,15999,7500,7500.0,,DJP1166,DJ-COM-0167,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
169,AGRI PRO PACKAGE,Combo Packages,29076,22650,10000,10000.0,,DJP1167,DJ-COM-0168,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
170,AGRI STARTER PACKAGE,Combo Packages,15587,11499,5000,5000.0,,DJP1168,DJ-COM-0169,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
171,LEGEND PACKAGE,Combo Packages,27687,18999,10000,10000.0,,DJP1169,DJ-COM-0170,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
